m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;p16;p16_err;p17;p17_err;p18;p18_err;p19;p19_err;p20;p20_err;p21;p21_err;p22;p22_err;p23;p23_err;p24;p24_err;p25;p25_err;p26;p26_err;p27;p27_err;h1;h1_err;h2;h2_err;h3;h3_err
2;4.38396052e+00;1.38168213e-03;-3.75610723e+00;9.72675221e+00;-2.83276235e+01;2.13632312e+01;1.00614020e+02;1.12367284e+02;-1.89591508e+02;6.15914383e+02;9.12745185e+02;2.15071282e+03;-5.13007938e+00;3.01881383e+03;-3.18859865e+03;4.02901322e+04;2.56450914e+03;1.74434806e+05;2.39673500e+03;3.84378129e+05;-1.21527679e+03;4.72445498e+05;-2.86249271e+03;3.04171116e+05;-6.22436766e+02;1.66180548e+05;1.53910077e+03;3.72860367e+05;2.79770520e+03;6.47121568e+05;-1.18058960e+03;5.17407183e+05;-8.51872576e+00;4.29050935e+03;-5.80582236e+02;2.41736846e+05;-2.12229341e+03;2.63280801e+05;5.51419952e+02;2.39656426e+05;9.50282526e+02;1.93792124e+05;1.26669625e+03;2.98277036e+05;3.65538155e+02;9.87355922e+04;-1.74365656e+03;3.79907481e+05;8.44746232e+02;3.90812308e+05;-1.65333118e+03;4.79683865e+05;1.71100840e+03;3.43808968e+05;-4.81780930e+02;8.83767245e+04;-4.90498057e+00;2.20988632e+00;8.64366866e+00;5.72566734e+00;;
3;4.38522910e+00;1.40123226e-03;-1.94101082e+01;4.53329892e+01;-4.90222053e+01;2.29336259e+02;-2.90810401e+01;4.47804994e+02;2.22390315e+03;1.83942064e+03;-1.12522724e+04;2.27747445e+04;4.35646598e+04;1.20786131e+05;-7.81481957e+04;4.65191747e+05;2.23728998e+04;1.03065465e+06;1.06261602e+05;1.97888688e+06;-7.53561794e+04;3.93696917e+06;-9.15083872e+04;3.95299207e+06;3.99980035e+04;1.66482868e+06;8.33054843e+04;1.93494914e+06;4.08082480e+04;2.47960776e+06;-6.10612057e+04;2.13519948e+06;-5.12346330e+04;1.85395925e+06;-5.57486854e+04;2.19883978e+06;5.42453043e+04;3.27671010e+06;6.42069023e+04;2.73136726e+06;2.64460838e+04;1.40111510e+06;6.10458914e+03;3.22862943e+05;-1.05431164e+05;1.53969327e+06;-2.39400135e+04;8.66376846e+05;5.72139224e+04;2.61755165e+06;5.28608651e+04;2.71241669e+06;-5.59843875e+04;1.44171578e+06;1.06044777e+04;3.30764496e+05;-8.41575077e+00;1.03415518e+01;1.54828906e+01;9.37824042e+01;1.01798398e+01;2.13744517e+02
