m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err
2;4.38383351e+00;1.30931052e-03;-5.30166834e-01;2.21236994e+00;-1.62873974e+01;8.41121611e+00;1.57559808e+02;6.31175365e+01;-5.52654124e+02;3.97600181e+02;3.17770615e+03;1.83697071e+03;-7.79285292e+03;4.55189559e+03;1.05222163e+04;6.56928675e+03;-8.25887874e+03;5.59077479e+03;3.55164937e+03;2.61246229e+03;-6.49622197e+02;5.18207519e+02;-4.17689161e+00;5.25144230e-01;8.85313163e+00;1.41824175e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.38389878e+00;1.34524158e-03;-2.34535940e+00;4.99196913e+00;-1.67288315e+01;7.72095566e+00;1.49778069e+02;7.25958958e+01;-5.26424150e+02;4.16678698e+02;2.86094169e+03;2.30627334e+03;-7.26795757e+03;5.11918454e+03;1.00565543e+04;6.74853906e+03;-8.03411032e+03;5.37856552e+03;3.50318301e+03;2.39374184e+03;-6.48224381e+02;4.57186362e+02;-4.58799135e+00;1.12986924e+00;1.02947917e+01;3.93872184e+00;-3.56213656e+00;1.07777029e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.38434285e+00;1.11129753e-03;-3.42490904e+01;1.74468365e+00;4.52456755e+01;7.85620060e+00;1.39775623e+02;2.82803744e+01;-3.27670231e+02;1.67778599e+02;-3.68964109e+02;8.36769170e+02;4.76962732e+03;2.47079566e+03;-3.41243358e+03;3.82149553e+03;-8.77169274e+01;3.58241292e+03;1.19656486e+03;1.88517526e+03;-4.22887439e+02;4.24414522e+02;-1.18398553e+01;3.94218276e-01;5.25532608e+01;3.11650014e+00;-1.17782645e+02;8.98262450e+00;1.35806863e+02;1.27039481e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.38475236e+00;1.26051563e-03;-3.00423222e+01;2.04408258e+01;1.32448004e+01;1.46858061e+02;1.54968827e+02;1.90169271e+02;5.88162995e+01;7.02933125e+02;-1.97951933e+03;2.69772936e+03;8.16745417e+03;9.66026829e+03;-2.34755422e+03;3.20501879e+04;-2.15907771e+03;3.23082099e+04;2.29803816e+03;1.61456832e+04;-6.36034725e+02;3.31879441e+03;-1.08665703e+01;4.66199630e+00;4.08569871e+01;5.22280189e+01;-6.51271271e+01;2.25026721e+02;1.14097179e+01;5.03655306e+02;1.63735371e+02;5.72177099e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.38467666e+00;1.33060567e-03;-3.06910929e+01;3.97034630e+01;1.91473791e+01;2.88795867e+02;1.47286775e+02;3.81649833e+02;-1.93401753e+01;1.23622033e+03;-1.51392396e+03;6.31160190e+03;6.79096958e+03;2.46428888e+04;-8.55754201e+02;7.33531821e+04;-2.55953411e+03;6.40716917e+04;2.33713910e+03;3.11671594e+04;-6.27802161e+02;6.31613287e+03;-1.10173423e+01;9.06048579e+00;4.29155192e+01;1.02456448e+02;-7.61214973e+01;4.49125907e+02;4.34553186e+01;1.04946437e+03;1.06900298e+02;1.38865839e+03;3.97318002e+01;1.02842235e+03;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.38468827e+00;1.34859034e-03;-3.11973012e+01;3.17199934e+01;2.63038858e+01;2.09241975e+02;1.18529727e+02;2.49390075e+02;-4.07288679e+01;8.16211209e+02;-1.10898742e+03;6.86441423e+03;5.46030629e+03;2.92996719e+04;1.33064945e+03;7.01163515e+04;-3.92944539e+01;2.89464298e+03;9.76376598e+02;6.37373397e+03;-2.94205690e+02;1.39810825e+03;-1.11326785e+01;7.22390564e+00;4.50213186e+01;7.62164410e+01;-9.09577966e+01;3.04866459e+02;9.41315024e+01;6.87104030e+02;1.32626172e+01;1.02267808e+03;1.21672181e+02;9.63537293e+02;8.16808337e+01;1.94928472e+03;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.38480223e+00;1.31176614e-03;-3.14973609e+01;5.09891833e+01;2.82697613e+01;3.45917623e+02;1.08802578e+02;2.98039374e+02;4.42983651e+01;1.46034133e+03;-1.50337989e+03;5.66126511e+03;6.33056294e+03;3.83871193e+04;1.41438296e+03;1.33484681e+05;-3.72471464e+03;1.20056207e+05;6.66629374e+02;4.38668787e+04;-3.33094380e+02;7.64469571e+03;-1.11971987e+01;1.16279845e+01;4.55912251e+01;1.25430241e+02;-9.29400582e+01;4.93798096e+02;1.00295109e+02;9.38739948e+02;-7.65114764e+00;8.32123622e+02;1.84632784e+02;1.64450272e+03;-1.58876140e+01;1.87611933e+03;-8.43178026e+01;2.83778615e+03;;;;;;;;;;;;;;;;;;;;;;;;
9;4.38461944e+00;1.36555344e-03;-3.12960541e+01;9.86318697e+01;2.56754671e+01;6.78762374e+02;1.33856695e+02;7.01689040e+02;-1.13177761e+02;2.17084263e+03;-8.60356667e+02;6.29704941e+03;4.77269246e+03;5.34946275e+04;1.66271188e+03;1.95149891e+05;-8.15788795e+02;1.80085634e+05;7.92602246e+02;1.16914627e+05;-7.26865273e+02;3.10905109e+04;-1.11578459e+01;2.24817500e+01;4.50772161e+01;2.44509163e+02;-8.91323951e+01;9.98450669e+02;8.35332437e+01;2.05930422e+03;3.86641335e+01;2.11814198e+03;7.27501120e+01;2.45567064e+03;9.08464000e+01;2.78721989e+03;-3.96438858e+00;8.89758458e+02;-3.49034777e+01;3.64046300e+03;;;;;;;;;;;;;;;;;;;;;;
10;4.38477365e+00;1.32323219e-03;-3.21055060e+01;8.03494531e+01;3.12817934e+01;5.61984938e+02;1.20305004e+02;7.21605819e+02;-1.84787808e+01;2.03351576e+03;-1.49843623e+03;8.72124404e+03;6.91817520e+03;4.72505386e+04;-1.60771777e+03;1.51529923e+05;-6.34578500e+02;1.05644974e+05;-6.71061869e+02;9.78979425e+04;-3.12852422e+03;7.95649742e+04;-1.13369491e+01;1.83236051e+01;4.68764451e+01;2.01517034e+02;-9.52080156e+01;8.47245430e+02;9.10990490e+01;1.92218224e+03;4.19063079e+01;2.75674398e+03;6.92782072e+01;3.58408689e+03;3.26537897e+01;2.64357392e+03;-3.36153219e+01;3.73377783e+03;-1.28048432e+02;4.04195976e+03;-3.51616788e+01;9.00247040e+02;;;;;;;;;;;;;;;;;;;;
11;4.38459856e+00;1.36881342e-03;-3.08951375e+01;1.32713627e+02;2.25559578e+01;9.04825338e+02;1.38515520e+02;8.96204576e+02;-9.04955965e+01;3.84462274e+03;-9.93052045e+02;9.48540572e+03;5.16571709e+03;5.20849716e+04;1.10656425e+03;1.93064101e+05;-9.07738653e+02;1.55109142e+05;-2.59921840e+02;3.56289093e+04;-6.38920559e+02;9.41724878e+04;-1.10667007e+01;3.02668125e+01;4.39988221e+01;3.27854928e+02;-8.40715486e+01;1.33256561e+03;7.12108382e+01;2.75982530e+03;5.47321785e+01;2.94869435e+03;6.87078169e+01;3.45347330e+03;6.93211390e+01;5.40947085e+03;-2.03243948e+01;9.70668667e+03;-5.48290860e+01;7.35944307e+03;-1.58671981e-01;3.84578827e+01;1.37552016e+00;2.26483637e+02;;;;;;;;;;;;;;;;;;
12;4.38426648e+00;1.38010432e-03;-1.41410568e+02;5.00856836e+02;9.60699331e+02;4.30816254e+03;-1.49415017e+03;1.10137312e+04;-3.68845730e+03;5.51582243e+04;1.29977361e+04;6.72949212e+04;-4.47128429e+03;2.21566123e+05;-7.35836217e+04;1.07458428e+06;3.81196124e+04;1.94326197e+06;9.00002685e+04;2.84009083e+06;4.49118927e+04;2.01495102e+06;-3.62845888e+01;1.14234028e+02;3.59969430e+02;1.43688057e+03;-1.59913334e+03;6.11038196e+03;3.77959003e+03;1.87131396e+04;-4.70042392e+03;5.70207908e+04;9.33656798e+02;1.27954404e+05;1.81611941e+03;1.66926028e+05;-1.60843082e+03;2.45853939e+05;2.30679538e+03;2.61516746e+05;5.74553826e+03;2.80273219e+05;-3.78375781e+03;1.26716307e+05;9.07211283e+02;2.43068864e+04;;;;;;;;;;;;;;;;
