n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;5;-350.01764446;-339.65094953;1.15718872;0.02061810
3;2;-353.33236115;-345.55733995;1.09505724;0.02174155
4;3;-350.56080049;-340.19410556;1.12972582;0.02006498
5;3;-349.79717893;-338.13464713;1.13931028;0.01826052
6;2;-348.51372996;-336.85119817;1.20132613;0.02014473
7;2;-347.84124130;-334.88287264;1.19815754;0.01829298
8;2;-346.99838581;-332.74418028;0.76754883;0.01282781
