n;m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;2;5;1.000000;33.857923;1.538997;-348.247843;-341.768659;2.617839;3.486123;0.028395;0.823407;2.960966;0.227528
2;3;6;1.000000;30.587797;1.456562;-349.202224;-341.427203;2.617839;3.453012;0.025656;0.898532;3.860802;0.145090
2;4;7;1.000000;32.930678;1.646534;-345.268591;-336.197733;2.617839;3.503998;0.027341;0.865073;3.370540;0.185394
2;5;8;1.000000;21.986586;1.157189;-350.017644;-339.650950;2.617839;3.846984;0.020618;1.191776;2.528927;0.282391
2;6;9;1.000000;21.091670;1.171759;-349.441702;-337.779170;2.617839;3.860678;0.018915;1.327405;2.871991;0.237878
2;7;10;1.000000;19.050078;1.120593;-347.607181;-334.648812;2.617839;4.090704;0.018929;1.263695;2.023271;0.363624
2;8;11;1.000000;12.276528;0.767283;-346.948604;-332.694398;2.617839;4.637999;0.013082;1.456560;1.436834;0.487523
3;2;6;1.000000;22.996202;1.095057;-353.332361;-345.557340;3.130796;3.808914;0.021742;1.191188;4.956327;0.175023
3;3;7;1.000000;21.368135;1.068407;-353.028702;-343.957844;3.130796;3.868299;0.019660;1.334557;4.489655;0.213215
3;4;8;1.000000;28.765552;1.513976;-346.234515;-335.867821;3.130796;3.458981;0.024044;0.939405;7.859632;0.049004
3;5;9;1.000000;21.293186;1.182955;-349.131633;-337.469101;3.130796;3.857002;0.019385;1.297976;4.472504;0.214756
3;6;10;1.000000;21.656830;1.273931;-346.213626;-333.255257;3.130796;3.856610;0.020199;1.234409;4.324876;0.228453
3;7;11;1.000000;21.019502;1.313719;-345.401118;-331.146912;3.130796;3.865276;0.018933;1.338508;4.412466;0.220232
4;2;7;0.999999;56.498280;2.824914;-332.439335;-323.368477;2.808469;3.537909;0.037927;0.719386;10.223792;0.036822
4;3;8;1.000000;21.464791;1.129726;-350.560800;-340.194106;2.808469;3.862556;0.020065;1.216608;6.723962;0.151215
4;4;9;1.000000;20.763264;1.153515;-349.500897;-337.838366;2.808469;3.890919;0.018913;1.328132;6.591163;0.159136
4;5;10;1.000000;16.471598;0.968918;-347.994477;-335.036108;2.808469;4.385419;0.016909;1.465708;4.293995;0.367678
4;6;11;1.000000;12.284131;0.767758;-347.029961;-332.775755;2.808469;4.658608;0.012622;1.464448;3.840078;0.428081
5;2;8;1.000000;22.718609;1.195716;-349.271000;-338.904305;3.012443;3.819700;0.021564;1.131375;7.287422;0.200127
5;3;9;1.000000;20.507585;1.139310;-349.797179;-338.134647;3.012443;3.904040;0.018261;1.365812;7.170153;0.208290
5;4;10;1.000000;19.790752;1.164162;-348.067348;-335.108980;3.012443;3.953924;0.017824;1.410267;6.929390;0.225945
5;5;11;1.000000;12.335229;0.770952;-347.000369;-332.746163;3.012443;4.655474;0.012936;1.464318;4.316836;0.504758
6;2;9;1.000000;21.623870;1.201326;-348.513730;-336.851198;3.456561;3.864060;0.020145;1.251560;7.213167;0.301583
6;3;10;1.000000;19.523016;1.148413;-348.101304;-335.142935;3.456561;3.972174;0.017964;1.409397;6.781318;0.341545
6;4;11;1.000000;13.999929;0.874996;-346.905763;-332.651557;3.456561;4.623920;0.014306;1.499356;4.157974;0.655308
7;2;10;1.000000;20.368678;1.198158;-347.841241;-334.882873;3.340445;3.898792;0.018293;1.362688;7.676137;0.362016
7;3;11;1.000000;12.996549;0.812284;-346.612166;-332.357961;3.340445;4.503746;0.014324;1.406916;5.487769;0.600660
8;2;11;1.000000;12.280781;0.767549;-346.998386;-332.744180;3.881332;4.646379;0.012828;1.459939;6.714805;0.567692
