m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err
2;1.50239908e+01;1.34419005e-03;1.96100290e+03;4.77440643e+04;1.84680400e+03;4.78886209e+04;-7.49639927e+02;2.05029436e+04;-1.11065942e+02;1.08161852e+04;4.07780891e+02;6.52758861e+04;2.33421012e+03;3.01010970e+05;-7.79819716e+03;7.46133855e+05;8.16341499e+03;1.10616231e+06;9.88812471e+02;1.04925843e+06;-9.12498503e+03;6.74813008e+05;7.21434126e+03;2.86925456e+05;-1.87710251e+03;5.88284906e+04;1.29549670e+02;3.17760532e+03;-4.52391802e-01;6.38523462e+02;;;;
3;1.50243427e+01;1.19852654e-03;-5.09978531e+00;5.64536975e+02;-1.89009811e+02;6.60033654e+03;1.52715903e+02;1.27947185e+04;3.42489315e+02;1.99553625e+04;-1.10767689e+02;7.95627548e+03;-3.56310893e+01;1.41641160e+03;1.19487630e+01;1.37316574e+03;2.65841743e+02;1.22823918e+04;-5.46465205e+02;2.65868828e+04;5.10011312e+02;2.63972741e+04;-2.41316587e+02;1.31930527e+04;4.69443433e+01;2.69097664e+03;-1.29912096e+00;3.75755379e+01;-1.08978500e+01;4.03207558e+02;1.98167547e+01;1.22126681e+03;;
4;1.50240525e+01;1.34222172e-03;1.26088252e+03;2.90793384e+04;-3.93548685e+03;1.90927316e+05;-1.63706587e+03;8.09779440e+04;8.77652454e+03;4.87177015e+05;9.24772152e+02;9.33127676e+04;-9.17413543e+02;4.37709880e+04;-1.53142306e+03;1.95948274e+05;4.99005205e+03;4.21109415e+05;-4.69465067e+03;4.39196250e+05;1.20454658e+03;2.18086859e+05;7.15976484e+02;4.87756369e+04;-3.74439508e+02;1.55912312e+04;8.29578710e+01;1.93542562e+03;-3.40931057e+02;1.45491259e+04;2.51441239e+02;1.91630343e+04;1.96369913e+02;9.44179838e+03
