m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;h1;h1_err;h2;h2_err;h3;h3_err
2;1.50239943e+01;1.34383907e-03;-1.07385747e+02;5.72858610e+03;2.88805123e+03;6.81677219e+04;3.03257959e+03;7.15771478e+04;-2.17395406e+03;2.91013320e+04;5.82522414e+03;4.96344973e+04;-2.12110198e+04;2.86683515e+05;5.23575489e+04;1.05355153e+06;-7.50968440e+04;2.72666105e+06;4.68203467e+04;4.92783602e+06;2.23230152e+04;5.98826050e+06;-5.99086749e+04;4.61025618e+06;3.92843279e+04;2.01911384e+06;-9.18098690e+03;3.82033353e+05;-8.11318446e+00;3.81265920e+02;2.00733810e+02;4.84123792e+03;;
3;1.50240375e+01;1.33814773e-03;1.37123514e+03;9.08968747e+03;-4.93506885e+03;1.31509856e+05;5.04015243e+02;1.25111492e+05;9.23801400e+03;3.09395308e+05;-2.53995885e+03;1.12670160e+05;-2.06226393e+03;4.58555571e+04;3.59438319e+03;1.11665024e+05;-1.04368463e+03;1.60390109e+05;-2.32063449e+03;2.51875830e+05;3.25096381e+03;2.51614098e+05;-2.22912692e+03;1.60101325e+05;9.71928352e+02;6.48182052e+04;-2.15035940e+02;1.28518519e+04;9.03014909e+01;6.04968451e+02;-4.14437872e+02;9.33160421e+03;4.66336939e+02;1.75076381e+04
