m;p0;p0_err;p1;p1_err;p2;p2_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err
2;6.23056458e+00;7.65191695e-05;5.79771189e+00;3.86975639e-03;3.28371632e+00;8.38963929e-03;-2.58580714e-01;7.26759230e-04;2.47663948e-01;8.88384766e-05;;;;
3;6.22620406e+00;7.93002524e-05;-3.13335094e-01;2.57549624e-02;-1.69864556e+00;2.35213800e-02;-1.25389534e+00;4.24303062e-03;7.21929132e-01;1.87558137e-03;-1.95842754e-01;7.84046535e-04;;
4;6.22528083e+00;8.86245843e-05;2.37562515e+01;2.43069859e+00;2.64207824e+00;4.74695953e-01;2.60450819e+00;3.89837934e-01;-3.15576624e+00;3.87371992e-01;2.26542306e+00;2.45121822e-01;-6.07047171e-01;6.01038269e-02
