m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err
2;4.67231520e+00;8.33048661e-04;4.33764903e+00;5.28386628e-01;6.82104839e+00;4.85494758e-01;5.14211856e+01;7.59070317e+00;2.62151619e+02;3.79222600e+01;-3.58242782e+02;5.66397258e+01;2.13257280e+02;3.94997712e+01;-4.97257413e+01;1.07846054e+01;-2.93862805e+00;1.05652860e-01;7.29677488e+00;2.49071911e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.67231705e+00;8.38955759e-04;4.41688007e+00;3.49495762e+00;6.96989188e+00;6.62920077e+00;5.14043831e+01;7.74233646e+00;2.65195769e+02;1.44334094e+02;-3.58738780e+02;6.38688570e+01;2.12967810e+02;4.07247715e+01;-4.95753862e+01;1.21655636e+01;-2.92149478e+00;7.55362220e-01;7.25659669e+00;1.77022517e+00;1.27279995e-01;5.63930589e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.67208882e+00;8.41451645e-04;-1.81073595e+01;6.59318327e+00;3.26503634e+01;3.04365308e+01;1.91021302e+02;8.69140251e+01;-6.54512740e+02;3.22712695e+02;3.04978395e+03;2.08183466e+03;-8.69561721e+02;7.66026684e+02;1.43343392e+02;1.59960127e+02;-7.78536605e+00;1.42440625e+00;3.32878590e+01;1.11091305e+01;-6.98386185e+01;2.91399868e+01;1.18095148e+02;6.99001556e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.67204536e+00;8.40174681e-04;-2.66655294e+01;5.80815491e+00;4.43297588e+01;2.01400700e+01;1.62897369e+02;5.44846161e+01;-8.08700575e+02;2.38148580e+02;3.12103539e+03;1.31680239e+03;-2.37434154e+03;8.93881018e+02;3.49848410e+02;1.44786033e+02;-9.61620534e+00;1.25140291e+00;4.28389686e+01;8.98655937e+00;-1.02895426e+02;2.59513166e+01;1.69670926e+02;5.36653903e+01;-8.21794491e+01;3.72273663e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.67216206e+00;8.39762390e-04;-3.75077863e+01;4.40489015e+00;5.54503172e+01;2.78315560e+01;8.42443379e+01;2.68671770e+01;-1.87401970e+02;4.19681101e+02;-6.06496314e+01;1.82441299e+03;4.32925517e+03;4.55135998e+03;2.52140538e+03;6.16097949e+02;-1.19087455e+01;9.50483923e-01;5.29163518e+01;9.94689224e+00;-1.27692098e+02;3.89141290e+01;1.99629758e+02;8.33457461e+01;-1.44128112e+02;1.01118389e+02;2.97085052e+02;1.07747246e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.67210668e+00;8.42430385e-04;-1.68492063e+01;1.51956416e+02;2.80176579e+01;5.41787435e+02;1.88097421e+02;1.07102195e+03;-6.84176789e+02;4.65051351e+03;3.00779099e+03;1.74170282e+04;-1.48976837e+03;8.41560128e+04;-1.11900256e+03;6.04710109e+04;-7.51518484e+00;3.25011521e+01;3.12281398e+01;2.41714152e+02;-6.38279676e+01;1.01581899e+03;1.00411195e+02;2.19378224e+03;1.56551223e+01;3.71056456e+03;-6.57434479e+01;1.02718736e+03;-1.44388108e+01;8.31154860e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.67218110e+00;8.42352289e-04;-3.15852866e+01;6.91741634e+01;8.55535810e+00;5.05968130e+02;1.32285255e+02;5.05746720e+02;6.73927134e+01;1.47657629e+03;-8.16629293e+02;8.59312355e+03;5.49524313e+03;4.13025669e+04;8.98677505e+03;1.42446797e+05;-1.06378399e+01;1.47974695e+01;3.78002851e+01;1.65229746e+02;-6.27230728e+01;6.61123167e+02;5.44940630e+01;1.36589051e+03;5.48070166e+01;1.70187704e+03;2.64313341e+02;5.82488665e+02;2.50440916e+02;4.57887837e+03;-3.86737339e+01;6.15819590e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.67218080e+00;8.41836852e-04;-3.63747692e+01;1.02648769e+02;4.58166401e+01;8.29361256e+02;9.66831252e+01;1.44533475e+03;-1.50522544e+02;1.81387802e+03;-1.16991466e+02;1.11532532e+04;4.08790374e+03;3.74708694e+04;5.28086765e+03;1.25111644e+05;-1.16649741e+01;2.19782366e+01;4.98638574e+01;2.63024073e+02;-1.13847679e+02;1.21619839e+03;1.65742538e+02;3.14944746e+03;-8.91495516e+01;5.27536960e+03;2.62054071e+02;4.75659360e+03;1.35376971e+02;6.70100983e+03;-3.96255899e+01;2.08720671e+03;6.70638971e+00;3.48513685e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.67216827e+00;8.42440280e-04;-3.45890225e+01;1.60425144e+02;2.72898893e+01;1.32159119e+03;1.50053386e+02;2.52527710e+03;-1.30598930e+02;3.03206520e+03;-5.32391485e+02;1.66744920e+04;5.47688179e+03;4.15001949e+04;2.96740713e+03;1.17705735e+05;-1.12833591e+01;3.43446237e+01;4.44313358e+01;4.16506712e+02;-8.33002290e+01;1.98117691e+03;7.53342420e+01;5.28680730e+03;6.84880609e+01;9.05242253e+03;1.24551121e+02;9.00779157e+03;1.04392113e+02;9.65310826e+03;2.57326005e+01;4.65036516e+03;-4.98538867e+01;1.87469752e+03;1.59141191e+01;3.92465201e+02;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4.67217250e+00;8.42244720e-04;-3.58520420e+01;7.22266800e+01;3.44782860e+01;6.10250951e+02;1.61761329e+02;1.30859372e+03;-2.13238554e+02;1.92396571e+03;-5.34780585e+02;1.24062029e+04;5.90504685e+03;3.79538640e+04;8.79767422e+02;7.14555106e+04;-1.15534442e+01;1.54699494e+01;4.70101090e+01;1.90939098e+02;-8.93060220e+01;9.38948030e+02;6.74831537e+01;2.61084252e+03;1.29720218e+02;4.60139881e+03;-1.97810248e+01;4.67304512e+03;1.62691419e+02;3.03345211e+03;3.07186865e+01;3.45833849e+03;-1.44460235e+02;3.33924936e+03;9.41774224e+01;1.70171560e+03;-2.09899528e+01;3.55752008e+02;;;;;;;;;;;;;;;;;;;;;;;;
