m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;10;0.9999999835421388;39.73397597445256;0.502961721195602;-1262.9891687348083;-1238.1028050374869;4.752194195865855;3.032544992681352;0.041831966366777884;1.0408708526894195;27.169252844108556;0.000310691138186238
3;11;0.9999999835978954;39.7102934974741;0.5091063268906936;-1261.2911989070947;-1233.916198840041;4.752194195865855;3.027473334741515;0.04187088988045318;1.0431994675583216;27.040231653593477;0.0003277685526825348
4;12;0.9999999849346961;34.49145021473415;0.4479409118796643;-1266.857561062628;-1236.9939246258423;4.752194195865855;3.345354394335587;0.03972208815075984;1.2055644110995223;21.81188251065794;0.0027371709208036483
5;13;0.9999999848645866;33.65002649312716;0.4427635064885152;-1264.4443425198644;-1232.0920697133465;4.752194195865855;3.432300159870394;0.03985262600363093;1.2230945224040979;20.479095905589364;0.0046226951230346845
6;14;0.9999999869151555;18.041297385967194;0.24055063181289593;-1275.4011938655708;-1240.560284689321;4.752194195865855;4.60089883331527;0.028882528562415466;1.5270159349062062;6.2812143407608945;0.5073238938305095
7;15;0.9999999868786524;18.09544988629333;0.2445331065715315;-1273.1532544675727;-1235.8237089215907;4.752194195865855;4.607278805670134;0.02918219698096447;1.5237368640944515;6.232992777793997;0.5128228266026491
8;16;0.9999999868150908;18.134257196740176;0.2484144821471257;-1270.7231672893604;-1230.9049853736462;4.752194195865855;4.62488975423625;0.029285188364706727;1.525695191460718;6.1770091230269255;0.5192398363691443
9;17;0.9999999868845261;18.03079317529044;0.250427682990145;-1269.193103269883;-1226.8862849844368;4.752194195865855;4.625281139190918;0.028822130812755198;1.5365838604483477;6.221795748060238;0.5141034632837448
10;18;0.9999999868472108;18.05486768066523;0.2542939109952849;-1266.9402457122303;-1222.1447910570519;4.752194195865855;4.634439684869207;0.028854719832165365;1.536408766259829;6.193081757704663;0.517393982561228
11;19;0.9999999868209808;18.08375046918959;0.2583392924169941;-1264.762934177818;-1217.4788431529073;4.752194195865855;4.6480190291777745;0.0289245545480048;1.5447627499172423;6.1787231005634915;0.5190428602492986
12;20;0.999999986887605;18.027128888255287;0.2612627375109462;-1263.2139992745078;-1213.441271879865;4.752194195865855;4.627804066489105;0.028783022408802594;1.5404948549542454;6.235935970279995;0.512486440073698
13;21;0.9999999869314498;18.019452096144636;0.2649919425903623;-1261.5120924146017;-1209.2507286502268;4.752194195865855;4.607080186618262;0.028657138468960675;1.53240875602342;6.2742681710865265;0.5081143512576278
14;22;0.9999999867656593;18.18797928891878;0.27146237744654894;-1258.390121152468;-1203.640121018361;4.752194195865855;4.674878574251196;0.029482611280952753;1.5669460390967924;6.210392706974391;0.5154091098413507
15;23;0.9999999867695682;18.18934301770528;0.2755961063288679;-1256.416412690274;-1199.1777761864348;4.752194195865855;4.670018671964371;0.029387416648430253;1.5626037962193502;6.205693384396063;0.5159476045275784
16;24;0.9999999867357724;18.20009340614072;0.28000143701754954;-1254.189360577441;-1194.4620877038697;4.752194195865855;4.686689172302749;0.029528512288916176;1.569598595448338;6.180673566679211;0.5188187452322559
17;25;0.9999999866885033;18.157928129431664;0.28371762702236974;-1251.8727597030695;-1189.656850459766;4.752194195865855;4.719854850913308;0.029825981496153453;1.5865804093025002;6.145796541755784;0.5228324860634254
18;26;0.9999999866399123;18.29787950308109;0.29044253179493795;-1249.548473567681;-1184.8439279546453;4.752194195865855;4.71387544097901;0.029611573053919038;1.5682916393408641;6.065717967711;0.5320971314559516
19;27;0.9999999868600881;18.101338883790195;0.2919570787708096;-1249.0274242588478;-1181.83424227608;4.752194195865855;4.646474278965584;0.029210289201804684;1.5461141665455616;6.164178504214374;0.5207153941396229
20;28;0.9999999849537778;35.226989450211974;0.5774916303313439;-1234.9703602117495;-1165.2885418592496;4.752194195865855;3.1918814699558595;0.03981438002460269;1.1867141305788926;24.629321775245657;0.0008825481322191005
21;29;0.9999999850386093;35.410373566727905;0.5901728927787985;-1233.4735671973472;-1161.303112475115;4.752194195865855;3.175052791165811;0.03959400427329829;1.1436272944691792;24.993452608526432;0.0007608308581933693
23;31;0.9999999869066533;18.22355229972443;0.3141991775814557;-1241.3433823265902;-1164.1956548648939;4.752194195865855;4.5836486723462855;0.02870094338640161;1.517511940997175;6.291848651584176;0.5061148200079183
