n;m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;2;5;1.000000;3147.924849;262.327071;-244.716043;-240.549976;3.661549;1.805010;0.006856;0.927378;5.231656;0.073107
2;3;6;1.000000;331.952944;30.177540;-285.968939;-280.969659;3.661549;0.326347;0.002079;2.611401;2.758035;0.251826
2;4;7;1.000000;316.099472;31.609947;-284.549452;-278.716959;3.661549;0.351437;0.001970;2.626609;2.140508;0.342921
2;5;8;1.000000;316.091384;35.121265;-282.612030;-275.946324;3.661549;0.351984;0.001961;2.612710;2.188574;0.334778
3;2;6;1.000000;344.616715;31.328792;-285.266166;-280.266886;4.279039;0.318637;0.002172;2.576855;4.040069;0.257170
3;3;7;1.000000;316.153070;31.615307;-284.603486;-278.770993;4.279039;0.351691;0.001962;2.615151;4.750347;0.191018
3;4;8;1.000000;316.125905;35.125101;-282.542217;-275.876510;4.279039;0.351196;0.001973;2.628652;4.726301;0.192971
4;2;7;1.000000;316.116433;31.611643;-284.532342;-278.699849;3.488238;0.351023;0.001975;2.631789;5.774253;0.216653
4;3;8;1.000000;316.159491;35.128832;-282.505233;-275.839526;3.488238;0.351709;0.001974;2.633649;5.750855;0.218543
5;2;8;1.000000;316.055281;35.117253;-282.565539;-275.899832;2.140033;0.353070;0.001962;2.617869;6.110841;0.295583
