n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;3;-285.96893942;-280.96965935;30.17754039;0.00207895
3;2;-285.26616612;-280.26688605;31.32879223;0.00217241
4;2;-284.53234225;-278.69984885;31.61164327;0.00197495
5;2;-282.56553862;-275.89983187;35.11725340;0.00196173
