n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;5;-336.34825508;-326.28348278;1.17797784;0.01952978
3;3;-338.90864364;-330.10196788;1.09278884;0.01891266
4;4;-336.36978047;-325.04691162;0.72535851;0.01271707
5;2;-335.86151039;-325.79673809;1.19764886;0.02017973
6;2;-334.72271912;-323.39985027;1.21504342;0.01917317
7;2;-333.46604287;-320.88507749;1.26265232;0.01779255
8;2;-332.07970805;-318.24064613;1.07937240;0.01690807
