n;m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;2;5;0.999999;33.011661;1.571984;-334.880862;-328.590379;3.165003;3.518640;0.027445;0.860270;2.939026;0.230037
2;3;6;1.000000;28.764910;1.438245;-335.837337;-328.288757;3.165003;3.459013;0.024044;0.939414;3.698444;0.157360
2;4;7;1.000000;24.650448;1.297392;-334.260318;-325.453642;3.165003;3.800338;0.023451;1.105676;1.691203;0.429299
2;5;8;1.000000;21.203601;1.177978;-336.348255;-326.283483;3.165003;3.865515;0.019530;1.253433;2.436889;0.295690
2;6;9;1.000000;20.748591;1.220505;-335.012870;-323.690001;3.165003;3.878883;0.018697;1.348929;2.606795;0.271607
2;7;10;1.000000;17.583216;1.098951;-333.154597;-320.573631;3.165003;4.220242;0.018133;1.360161;1.480764;0.476932
2;8;11;1.000000;15.414330;1.027622;-332.519923;-318.680862;3.165003;4.415816;0.015823;1.449814;1.450381;0.484232
3;2;6;0.999996;194.643041;9.732152;-281.915204;-274.366625;6.837574;9.527135;0.073835;0.922419;2.269446;0.518399
3;3;7;1.000000;20.762988;1.092789;-338.908644;-330.101968;6.837574;3.890931;0.018913;1.328028;4.330111;0.227954
3;4;8;1.000000;24.654510;1.369695;-334.822549;-324.757777;6.837574;3.600339;0.021091;1.138216;6.168021;0.103716
3;5;9;1.000000;20.426292;1.201547;-329.596054;-318.273185;6.837574;4.000704;0.021604;1.294695;3.607443;0.307092
3;6;10;1.000000;18.976685;1.186043;-333.876040;-321.295074;6.837574;3.937037;0.017544;1.357183;3.921426;0.270075
3;7;11;1.000000;18.809130;1.253942;-332.184232;-318.345171;6.837574;3.945266;0.017166;1.388704;3.883728;0.274296
4;2;7;0.999999;28.540287;1.502120;-330.012762;-321.206086;2.721168;3.781996;0.026247;1.041643;6.865020;0.143196
4;3;8;0.999996;179.693452;9.982970;-279.256913;-269.192140;2.721168;9.095534;0.071923;1.078926;6.664736;0.154702
4;4;9;1.000000;12.331095;0.725359;-336.369780;-325.046912;2.721168;4.670877;0.012717;1.470198;3.734650;0.443106
4;5;10;1.000000;13.102448;0.818903;-333.913228;-321.332263;2.721168;4.494927;0.014036;1.415748;4.012982;0.404252
4;6;11;1.000000;12.265235;0.817682;-332.402445;-318.563383;2.721168;4.640571;0.012533;1.457058;3.807289;0.432714
5;2;8;1.000000;21.557679;1.197649;-335.861510;-325.796738;3.216946;3.848470;0.020180;1.208689;6.731055;0.241423
5;3;9;0.999999;23.499128;1.382302;-325.761916;-314.439047;3.216946;4.024423;0.024197;1.247310;5.724478;0.333958
5;4;10;1.000000;19.601023;1.225064;-333.610707;-321.029742;3.216946;3.968509;0.017532;1.424708;6.581309;0.253687
5;5;11;1.000000;12.274024;0.818268;-332.405235;-318.566173;3.216946;4.622949;0.012524;1.449007;4.185565;0.523020
6;2;9;1.000000;20.655738;1.215043;-334.722719;-323.399850;3.353196;3.897125;0.019173;1.332290;6.769206;0.342719
6;3;10;1.000000;20.678811;1.292426;-333.263181;-320.682216;3.353196;3.881647;0.018886;1.347052;6.658003;0.353635
6;4;11;1.000000;12.567520;0.837835;-332.196300;-318.357238;3.353196;4.670955;0.012693;1.487399;4.186524;0.651451
7;2;10;1.000000;20.202437;1.262652;-333.466043;-320.885077;3.417285;3.904931;0.017793;1.372042;7.590183;0.370113
7;3;11;1.000000;19.974777;1.331652;-331.778195;-317.939133;3.417285;3.922374;0.018183;1.429661;7.501087;0.378632
8;2;11;1.000000;16.190586;1.079372;-332.079708;-318.240646;4.264299;4.334325;0.016908;1.394011;7.084478;0.527546
