degree;A0;A0_err;A1;A1_err;A2;A2_err;A3;A3_err;A4;A4_err;A5;A5_err;A6;A6_err;A7;A7_err;A8;A8_err;A9;A9_err;A10;A10_err;A11;A11_err
5;2.06854984e+04;4.88275306e+00;-1.15520915e+04;2.86321010e+00;2.56549686e+03;6.70565610e-01;-2.83499925e+02;7.84040054e-02;1.56088767e+01;4.57661566e-03;-3.42767032e-01;1.06696727e-04;;;;;;;;;;;;
6;-6.91078331e+04;3.29853263e+01;5.17529857e+04;2.32086696e+01;-1.60032306e+04;6.79995670e+00;2.61708613e+03;1.06194659e+00;-2.38883498e+02;9.32322383e-02;1.15484865e+01;4.36288001e-03;-2.31173054e-01;8.50183847e-05;;;;;;;;;;
7;-3.31628977e+04;4.28277046e+01;2.19616884e+04;2.66089818e+01;-5.43522607e+03;6.37045103e+00;5.37141605e+02;6.76061881e-01;6.41163093e+00;2.91566875e-02;-5.78573729e+00;4.86244169e-03;4.48460376e-01;3.65719117e-04;-1.14050286e-02;9.10539253e-06;;;;;;;;
8;-4.71530556e+04;6.42821965e+01;2.56683281e+04;4.66874969e+01;-3.14063397e+03;1.45311281e+01;-8.80964097e+02;2.55018434e+00;3.40589717e+02;2.85491013e-01;-4.86915788e+01;2.30723832e-02;3.62212960e+00;1.46657750e-03;-1.39053359e-01;6.28495531e-05;2.17187678e-03;1.22951131e-06;;;;;;
9;-1.06841004e+05;2.83564755e+01;5.06135320e+04;1.74814890e+01;-3.13320599e+03;5.30033565e+00;-2.38351288e+03;1.23724452e+00;5.67398022e+02;1.95960426e-01;-3.55939150e+01;1.87081132e-02;-3.24008335e+00;1.66155662e-03;6.34436545e-01;1.56291416e-04;-3.69382188e-02;8.07242759e-06;7.72516519e-04;1.65271958e-07;;;;
10;-1.20945406e+05;9.56352290e+01;5.60410048e+04;5.78809328e+01;-6.18510902e+03;1.33095641e+01;-4.61555796e+02;1.34023352e+00;-8.23593322e+00;2.06774803e-02;3.98573942e+01;1.93732131e-02;-4.28263948e+00;2.78840146e-03;-2.87185882e-01;2.63433944e-04;7.97039385e-02;3.21012470e-05;-5.28429508e-03;1.99924627e-06;1.20564860e-04;4.58492109e-08;;
11;6.77573687e+04;7.76749321e+01;-3.45612532e+04;3.54259052e+01;1.36109875e+03;7.33871032e+00;1.60306304e+03;1.43633706e+00;5.82578686e+00;7.88756543e-03;-1.26047566e+02;4.75288962e-02;2.17541430e+01;6.11553363e-03;-5.22018988e-02;1.28190268e-05;-3.63541698e-01;5.98983268e-05;4.45454548e-02;5.69434824e-06;-2.28288808e-03;2.50576000e-07;4.49068063e-05;4.90073957e-09
