m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;h1;h1_err;h2;h2_err;h3;h3_err
2;5.96785676e+00;4.63057208e-05;6.57376876e+00;1.08920307e-01;1.25700628e+01;5.35727496e-01;6.15642195e+01;6.01029324e-01;2.83913294e+01;7.72597123e+00;1.22725572e+00;1.65843446e+01;-5.72047960e+01;1.78054774e+01;5.06787918e+01;9.87452972e+00;-1.40284947e+01;2.24968166e+00;-1.83579132e+00;1.77585087e-02;4.73460845e+00;7.68600765e-02;;
3;5.96789879e+00;4.82198557e-05;9.56513599e+03;1.44839031e+05;1.06150295e+04;1.60649634e+05;2.54380953e+04;3.84499682e+05;1.00840790e+05;1.52704140e+06;1.14105046e+05;1.72908281e+06;-1.55816133e+05;2.35980575e+06;8.28689907e+04;1.25454115e+06;-1.69497627e+04;2.56506081e+05;1.59984222e+03;2.42698673e+04;-2.91873591e+03;4.42986902e+04;8.26819366e+03;1.25270417e+05
