m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;h1;h1_err;h2;h2_err;h3;h3_err
2;6.22524825e+00;8.76245950e-05;7.28904759e+00;1.31778854e-01;1.41143779e+01;6.78941820e-01;6.23759863e+01;7.51423143e-01;5.89563769e+00;9.34869911e+00;4.03100862e+01;2.02131408e+01;-9.35057408e+01;2.15942016e+01;6.89323899e+01;1.18942367e+01;-1.79198703e+01;2.69130400e+00;-1.68331459e+00;2.05958742e-02;4.49975794e+00;1.05029007e-01;;
3;6.22526090e+00;8.74273262e-05;2.00490364e+00;5.39881602e-01;1.01536231e+01;2.59474305e-01;4.82894148e+01;1.27672241e+00;-2.81382579e+01;5.37640010e+00;-7.11253246e+01;2.23789513e+01;4.94236575e+01;2.54881618e+01;-1.06850371e+01;1.38913127e+01;-4.26341794e-01;3.05047354e+00;-2.53099882e+00;8.62093866e-02;6.24202849e+00;2.21718189e-01;-4.47801647e+00;4.26354625e-01
