m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;h1;h1_err;h2;h2_err;h3;h3_err
2;9.99755038e+00;1.28600087e-03;-3.53855572e+01;1.07247372e+01;2.05540225e+01;1.39847667e+01;2.04187212e+01;9.80578318e+00;2.99015907e+00;1.65892370e+00;-2.53504798e+00;1.70416425e+00;4.42641505e-01;4.41426830e-01;-4.06212545e+00;1.07236819e+00;4.15922075e+00;1.95038033e+00;;
3;9.99734054e+00;1.32295810e-03;-3.94399409e+01;1.25401615e+01;3.91921510e+01;3.31029112e+01;6.68753977e+00;1.48922988e+01;-1.05215723e+01;1.75347448e+01;-2.70963206e+00;1.17316402e+00;9.58796263e-01;7.29309708e-01;-4.46853605e+00;1.25577320e+00;6.24522329e+00;3.94544692e+00;-2.49948577e+00;3.25201251e+00
