m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;5;0.9999994981783875;28902.615336234107;2890.2615336234107;-175.30721386474713;-171.7669628592361;4.429480266389892;4.0266058710880515;0.026782755046487416;0.924072854624632;3.3794781710820225;0.1845676740860193
3;6;0.99999998027587;1083.1967706145645;120.3551967349516;-221.8532429895421;-217.60494178292885;4.429480266389892;0.8436710132500025;0.005333115614166495;1.5888990767578652;0.6329235638007269;0.728722861430522
4;7;0.999999996286877;157.68859802706518;19.711074753383148;-244.9027847953837;-239.94643338766824;4.429480266389892;0.33737434977254566;0.0021332162294100954;1.9458298511199614;0.00924173403866857;0.9953897927612075
