R_untransformed;x_transformed;y_raw;y_fit;residuals;studentized_residuals
6.5206792;-1.0;4.3847405;4.384744137404276;-3.6374042755582536e-06;-1.2573047984130346
6.5586562;-0.9680832342053739;4.6721672;4.672160865843075;6.334156924303613e-06;1.2922423190536267
6.6400196;-0.8997035153741207;5.3317052;5.332160602503848;-0.00045540250384767944;-1.1423887950569862
6.669758;-0.8747106631765558;5.5877691;5.587662156213375;0.00010694378662545745;0.774804085339014
6.6985509;-0.8505124314613571;5.8435259;5.843564876437153;-3.897643715244925e-05;0.030269544285769532
6.7516342;-0.805899975140271;6.3356603;6.335956574187332;-0.00029627418733202404;-0.704329371856545
6.771564;-0.7891505015395721;6.5272506;6.527546407563365;-0.0002958075633650026;-0.6267472493554346
6.7938432;-0.7704265368111402;6.7460459;6.746126625061596;-8.072506159528814e-05;-0.007575697140791298
6.8190505;-0.7492417278368956;6.9995571;6.999117179423278;0.00043992057672159746;1.3386460410203682
6.843438;-0.7287458981026765;7.2499981;7.249628925529413;0.0003691744705873745;1.1079201708887034
6.8667423;-0.7091604151759651;7.4939694;7.4941984696353074;-0.00022906963530733293;-0.5158006734184946
6.8911595;-0.6886396248618135;7.7555441;7.755670038519201;-0.00012593851920073007;-0.35859352092309643
6.9131187;-0.6701845956747432;7.9945853;7.99513327470552;-0.0005479747055199269;-1.540654946537384
6.9369788;-0.6501320053296297;8.2596037;8.259635100649795;-3.1400649795898516e-05;-0.3182904205554485
6.9595818;-0.6311359114502839;8.5139332;8.514018312199548;-8.51121995477655e-05;-0.5191445532918797
6.9807379;-0.6133558264296736;8.7557977;8.755194575911823;0.0006031240881778643;1.177524053392264
7.0034624;-0.5942576210869667;9.0180235;9.017258140962294;0.0007653590377056929;1.6147165882564067
7.0241401;-0.5768795947006919;9.2578705;9.258153965132092;-0.00028346513209243085;-1.0122965706997267
7.0469195;-0.5577352501041707;9.5268413;9.525907780523381;0.0009335194766180166;2.2319868511073766
7.1066509;-0.5075355738689452;10.2355416;10.23719971608941;-0.0016581160894109104;-4.883955942192397
7.1267448;-0.49064818676094185;10.4784766;10.478554916813616;-7.831681361558651e-05;-0.09614929150801603
7.1693783;-0.4548179886277243;10.992687;10.992116637451748;0.0005703625482524899;1.5457100483824548
7.1767524;-0.4486206212041219;11.0807712;11.08098560773146;-0.00021440773146075287;-0.3543067449736321
7.1861104;-0.44075593746643577;11.1939251;11.19372245486139;0.00020264513860901445;0.6326692012852083
7.1668596;-0.45693476346530787;10.9615124;10.961758978970838;-0.0002465789708381294;-0.43338546387764304
7.1873643;-0.4397021303560826;11.2092881;11.208823347626298;0.0004647523737020265;1.2669390271818874
7.2070323;-0.4231726796451597;11.4457821;11.445457778975204;0.00032432102479695857;0.8981306539082826
7.2275368;-0.4059402146206467;11.6909984;11.69149343521256;-0.0004950352125607793;-1.1095146006459522
7.2473028;-0.38932840240018235;11.9274843;11.927756219103472;-0.0002719191034721291;-0.6208374591698298
7.2676214;-0.37225217211672895;12.1695355;12.169431718006368;0.00010378199363181295;0.23434770914928024
7.2874725;-0.355568839850734;12.4043085;12.404149991864255;0.00015850813574580513;0.3281480366153467
7.30747;-0.3387624695745653;12.6394498;12.638997779208617;0.0004520207913820684;1.0207318392681899
7.3285022;-0.3210865130338768;12.8835758;12.884064169424331;-0.0004883694243318359;-1.2705351057529348
7.3486209;-0.30417828342141773;13.1165198;13.116466199992052;5.3600007948517714e-05;0.07262207045314906
7.3692155;-0.2868700962335406;13.3516334;13.352174153148553;-0.0005407531485523975;-1.3346790411502722
7.3913872;-0.2682364770385357;13.6031314;13.603312860505682;-0.00018146050568113026;-0.38228022162809877
7.4128751;-0.25017753947847665;13.8443719;13.843995813142769;0.00037608685723178326;1.0522494391398092
7.4336257;-0.23273824621418546;14.0741982;14.07379707501482;0.000401124985179635;1.1928896509901386
7.4552635;-0.21455332916147046;14.3105358;14.310602677366736;-6.687736673605116e-05;0.12068632452995362
7.4768757;-0.19638992695206425;14.5437667;14.544193266028607;-0.0004265660286062456;-0.6953920832856579
7.498755;-0.17800204760797772;14.7773879;14.777637569792898;-0.0002496697928968672;-0.23690439877143032
7.5222199;-0.15828159265644615;15.0239886;15.02457449778696;-0.0005858977869603876;-1.060298107121349
7.5446087;-0.13946551750509784;15.2571895;15.256866783921861;0.00032271607813960657;1.128759478318409
7.5675202;-0.12021015295540827;15.4913762;15.491227146316199;0.00014905368380091488;0.6404568612479141
7.5899741;-0.10133936622986459;15.7176216;15.717630825332428;-9.225332428641764e-06;0.1789749732747601
7.6135698;-0.08150898387580156;15.951985;15.952086226627618;-0.00010122662761702372;-0.13139258783108548
7.6374383;-0.06144933397272699;16.1855921;16.185692249329737;-0.00010014932973589907;-0.21301813973600783
7.6614785;-0.04124538334324136;16.4168041;16.417420895817852;-0.0006167958178515676;-1.5635419835623214
7.6857312;-0.020862842705820502;16.6477422;16.64765027891775;9.192108224809203e-05;0.137952481329734
7.7104456;-9.227850762937835e-05;16.8787191;16.878674621472324;4.4478527676972135e-05;0.005906069501813438
7.7356227;0.021067149674899623;17.1110357;17.11038263384039;0.0006530661596073628;1.5122664772062224
7.761555;0.04286126573504103;17.345;17.34528562748848;-0.0002856274884805998;-0.7525030616617552
7.7614438;0.04276781063441788;17.344844;17.34428635445585;0.0005576455441484995;1.300237361679013
7.7875083;0.06467303069008376;17.5765835;17.576650159739682;-6.66597396801194e-05;-0.18496084906350818
7.8137823;0.086754319482985;17.8064854;17.80716064753574;-0.0006752475357387766;-1.672490336716394
7.8405439;0.10924539880703601;18.0379221;18.03819834701421;-0.0002762470142094742;-0.6727521687220333
7.8678737;0.13221400680171608;18.2711745;18.270332580054706;0.0008419199452944781;2.117013628730195
7.8959036;0.15577099533548114;18.5047328;18.504526829911253;0.0002059700887464544;0.39722635303027143
7.9247081;0.17997897596405457;18.7408764;18.741223548705438;-0.0003471487054369504;-1.1024551533533595
7.954046;0.2046352385231341;18.9783186;18.978318555704284;4.429571731634496e-08;-0.3765414215771214
7.9840466;0.22984844977990196;19.2167761;19.21678080855269;-4.708552690857459e-06;-0.5272598138669347
