complexity_level;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
5;6;0.999983074671326;42451.507277506615;511.46394310248934;-653.7062379548153;-638.7744197364224;6.440720059162028;113.32244569517246;1.593351152418534;0.2595320003896246;58.78979482923986;2.1612126242193704e-11
6;7;0.9999904643177125;24550.75798635472;299.39948763847224;-702.7718076004144;-685.3513530122895;4.22729582740638;58.70626429686521;1.3515783632092448;0.22854312736913324;50.65668347460324;3.471235165356368e-09
7;8;0.9999990897313346;2334.0459208109596;28.81538173840691;-909.8378164185332;-889.9287254606761;4.75219420030179;18.966319821050348;0.4135817250413032;0.2660417860502706;46.60268849390713;6.671898642313502e-08
8;9;0.9999996220086437;957.4568984588242;11.968211230735303;-986.0571097281621;-963.6593824005729;6.417575877538043;16.02564385266181;0.23927243711683932;0.5193380450263956;59.04654076347765;7.16762314208611e-10
9;10;0.9999997995714278;506.0503679910848;6.405700860646643;-1040.5199017725552;-1015.6335380752338;3.9708921558913954;7.394649138393383;0.1912123315107861;0.5054921784968317;45.02135254351189;9.143100715570967e-07
10;11;0.9999999646065278;97.24243535347347;1.2466978891470957;-1192.8397192630048;-1165.4647191959511;3.402811075731354;3.0503957253067426;0.08006374319361509;0.7378484443520441;27.496896563443638;0.002171946298283216
11;12;0.9999999702303699;78.63451765385032;1.0212275019980561;-1206.240159137197;-1176.3765227004112;4.310519078002723;3.1540789126625057;0.06650696028253389;0.932835970414976;50.5769405957457;4.928278956495096e-07
12;13;0.9999999790437788;57.47985430587258;0.7563138724456918;-1235.483893352862;-1203.131620546344;3.939110508611794;2.605931589855004;0.05523337558569086;0.9446455033963812;34.897869563573316;0.0004861706360936791
13;14;0.9999999833690568;41.17492345775351;0.5489989794367134;-1254.058072330659;-1219.217163154409;3.9382638940989714;3.0022971000605025;0.0439717830142774;1.0631095110945037;43.269716085678304;4.052455218321682e-05
14;15;0.9999999833937623;41.17129757288963;0.5563688861201301;-1252.1903810871431;-1214.8608355411611;3.996955824205654;2.9995530912252377;0.044041049804490306;1.0638282673527544;45.84848693435521;2.9681263411765754e-05
15;16;0.999999984932429;36.184704627042265;0.4956808853019488;-1258.8441690236664;-1219.0259871079522;4.1070955815577905;3.1224539550436248;0.04168886524692983;1.1686485979482208;41.12099297825698;0.00030648788354449216
16;17;0.9999999852417695;33.439144402576176;0.46443256114689135;-1258.6903752740636;-1216.3835569886173;4.285746614546232;3.3070557228374042;0.03846266786765806;1.1784243401262524;39.42390712092205;0.0009443700849632819
17;18;0.9999999852525444;33.43840884201454;0.4709635048171062;-1256.755377507176;-1211.9599228519976;4.2047467228673785;3.3054694788638983;0.03844896688503763;1.1787841941589863;42.272317410739234;0.0006125497625952414
18;19;0.9999999854930433;33.247863065931476;0.4749694723704497;-1256.2187384185604;-1208.9346473936498;4.267629180233929;3.3087538426244123;0.03798516913952188;1.1903907733725727;41.51979253429729;0.001289989243280091
19;20;0.9999999857510838;31.93670150301801;0.46285074642055085;-1255.8160624733873;-1206.0433350787446;4.475513383833015;3.4133037040131597;0.03822969322262271;1.2255407806633152;38.24838057935707;0.005517415684642862
20;21;0.9999999854144846;30.86767852572187;0.4539364489076746;-1251.7380824453912;-1199.4767186810163;4.50594300820885;3.5003242123856637;0.03813233434420216;1.256095087163198;38.90031366077887;0.006860249400513115
21;22;0.9999999856328312;30.71457201154225;0.4584264479334664;-1251.080494656806;-1196.330494522699;4.504713236250954;3.4989252054664632;0.0387202775309996;1.259795750492221;38.59361351138161;0.010971187624271784
22;23;0.9999999862390215;28.163437704427086;0.4267187530973801;-1252.917170610451;-1195.6785341066118;4.84980618604609;3.625546791081291;0.036875204920034044;1.303729907780418;33.30770304582703;0.05767466986425969
23;24;0.9999999861866271;27.373485406796927;0.4211305447199527;-1250.5789494282174;-1190.851676554646;4.9730804434904;3.714087181364789;0.036165827474373025;1.3143418262735609;32.31428552064992;0.09378178675264712
24;25;0.9999999861478088;27.40385683822674;0.4281852630972928;-1248.3291930443713;-1186.1132838010678;4.916253346661431;3.7092294588170205;0.0365495411235246;1.3134105619250318;33.517691631955145;0.09361282877754347
25;26;0.9999999863660436;27.81709738646678;0.4415412283566156;-1247.742508635581;-1183.0379630225455;5.032423309965506;3.6365421957356148;0.036185535374403166;1.3018297114086372;35.812760392042115;0.07448931881121854
26;27;0.9999999862319695;27.320162599504837;0.44064778386298126;-1244.8715728917252;-1177.6783909089575;5.383212176039134;3.703648803035975;0.03606764982263666;1.312712821374822;34.072809846716716;0.13320085471409596
27;28;0.9999999860789037;27.72754905849071;0.45454998456542145;-1241.8875769552699;-1172.20575860277;25.776237785297308;3.6840770768815645;0.03688156567944123;1.3076424892612695;36.53375769981726;0.10410438229068983
28;29;0.9999999863396899;27.113096323910355;0.45188493873183927;-1241.5706424890286;-1169.4001877667965;58.036779783430894;3.7024847290325624;0.03585775673075009;1.3151350493652882;35.60556348466925;0.15291928208953304
29;30;0.9999999867356806;24.978967521268917;0.4233723308689647;-1242.1887444971976;-1167.5296534052334;264.22819149657374;3.8525478109523448;0.03427654576777339;1.3679293159403687;31.750596267231607;0.3309266031280501
30;31;0.9999999866952857;25.66843787018992;0.44255927362396413;-1239.9181171509395;-1162.770389689243;1545.3878292989916;3.7990939458758533;0.03430088963196365;1.351895192808606;33.75020074314676;0.2909293393800203
