degree;B1;B2;A0;A0_err;A1;A1_err;A2;A2_err;A3;A3_err;A4;A4_err;A5;A5_err;A6;A6_err;A7;A7_err;A8;A8_err;A9;A9_err;A10;A10_err;A11;A11_err;A12;A12_err;A13;A13_err;A14;A14_err;A15;A15_err;A16;A16_err;A17;A17_err;A18;A18_err;A19;A19_err;A20;A20_err;A21;A21_err;A22;A22_err;A23;A23_err;A24;A24_err;A25;A25_err;A26;A26_err;A27;A27_err;A28;A28_err;A29;A29_err;A30;A30_err
5;6.52067920e+00;8.90043160e+00;1.68744257e+01;2.04274581e-04;1.11822609e+01;8.29202341e-04;-4.16092019e+00;1.34029655e-03;2.63728346e-01;3.34876942e-03;2.10624690e+00;1.54475569e-03;-1.11748706e+00;2.99808569e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;6.52067920e+00;8.90043160e+00;1.68891366e+01;2.37085507e-04;1.11727486e+01;8.32847323e-04;-4.47873216e+00;2.92493611e-03;3.00188560e-01;3.36203605e-03;3.07920564e+00;8.10756472e-03;-1.14694587e+00;3.00776322e-03;-7.21022167e-01;5.89813801e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;6.52067920e+00;8.90043160e+00;1.68869794e+01;2.37574856e-04;1.10404062e+01;1.25210323e-03;-4.45306393e+00;2.93055086e-03;1.52020509e+00;9.25146741e-03;3.02728293e+00;8.11585648e-03;-3.86366524e+00;1.94268469e-02;-6.90426588e-01;5.90209707e-03;1.68874010e+00;1.19303116e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;6.52067920e+00;8.90043160e+00;1.68827336e+01;2.65076657e-04;1.10443229e+01;1.25679322e-03;-4.29458166e+00;5.27723100e-03;1.49597269e+00;9.27577767e-03;2.13112530e+00;2.61100664e-02;-3.82728011e+00;1.94529627e-02;8.87842299e-01;4.41026813e-02;1.67225691e+00;1.19390404e-02;-8.51683636e-01;2.35851275e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;6.52067920e+00;8.90043160e+00;1.68822719e+01;2.66171174e-04;1.10213481e+01;1.73748876e-03;-4.28077618e+00;5.32625067e-03;1.83762325e+00;2.01079838e-02;2.06384435e+00;2.63454095e-02;-5.17779087e+00;7.31564403e-02;9.90997319e-01;4.44304502e-02;3.61930920e+00;1.02372272e-01;-9.01621885e-01;2.37288534e-02;-9.23508985e-01;4.82250032e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;6.52067920e+00;8.90043160e+00;1.68801306e+01;2.91529795e-04;1.10222907e+01;1.73828467e-03;-4.15723717e+00;8.68590604e-03;1.82719906e+00;2.01164762e-02;9.61673064e-01;6.66419562e-02;-5.14173762e+00;7.31845180e-02;4.36131408e+00;1.92384391e-01;3.57339580e+00;1.02405059e-01;-5.04719244e+00;2.31459816e-01;-9.03674582e-01;4.82380985e-02;1.76421036e+00;9.79822195e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;6.52067920e+00;8.90043160e+00;1.68801707e+01;2.91756401e-04;1.10270023e+01;2.19919800e-03;-4.15771446e+00;8.68700026e-03;1.72349885e+00;3.58287452e-02;9.57165461e-01;6.66548270e-02;-4.50630941e+00;1.95856430e-01;4.39101123e+00;1.92573245e-01;2.00271258e+00;4.60587721e-01;-5.09623266e+00;2.31886179e-01;7.77385209e-01;4.83031508e-01;1.78858653e+00;9.82306665e-02;-6.48404455e-01;1.85379799e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;6.52067920e+00;8.90043160e+00;1.68797066e+01;3.14697222e-04;1.10276932e+01;2.20617274e-03;-4.12076502e+00;1.27930091e-02;1.71140863e+00;3.59604597e-02;4.95643165e-01;1.34920830e-01;-4.45410555e+00;1.96307013e-01;6.48054761e+00;5.64943496e-01;1.92256296e+00;4.61041536e-01;-9.34544287e+00;1.10466442e+00;8.20073886e-01;4.83156614e-01;5.75051901e+00;1.01181655e+00;-6.51587457e-01;1.85382755e-01;-1.37880533e+00;3.50463567e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;6.52067920e+00;8.90043160e+00;1.68797396e+01;3.14930407e-04;1.10322805e+01;2.77547641e-03;-4.12209699e+00;1.28021449e-02;1.57291272e+00;6.22739300e-02;5.08397146e-01;1.35000042e-01;-3.27542497e+00;4.75138573e-01;6.43411081e+00;5.65191904e-01;-2.32276843e+00;1.62520099e+00;-9.27802919e+00;1.10492423e+00;8.18940029e+00;2.74802538e+00;5.71480300e+00;1.01188549e+00;-6.75508307e+00;2.24818766e+00;-1.37567441e+00;3.50459898e-01;1.93562523e+00;7.10545724e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;6.52067920e+00;8.90043160e+00;1.68796638e+01;3.34500807e-04;1.10325645e+01;2.80725886e-03;-4.11378864e+00;1.77870893e-02;1.56563145e+00;6.32063612e-02;3.65095011e-01;2.52191595e-01;-3.22118360e+00;4.81934644e-01;7.35095205e+00;1.47554518e+00;-2.50046345e+00;1.64656814e+00;-1.20402849e+01;4.25284465e+00;8.47542663e+00;2.78082889e+00;9.94634919e+00;6.37253570e+00;-6.97685750e+00;2.27233656e+00;-4.56580402e+00;4.75641875e+00;2.00180643e+00;7.17361845e-01;9.39234992e-01;1.39662845e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;6.52067920e+00;8.90043160e+00;1.68796855e+01;3.34741164e-04;1.10360409e+01;3.47356885e-03;-4.11614535e+00;1.78397215e-02;1.42862962e+00;1.02437554e-01;4.11565170e-01;2.53623161e-01;-1.66852933e+00;1.03288778e+00;7.03651699e+00;1.48671045e+00;-1.02274541e+01;4.83541761e+00;-1.10656937e+01;4.29002705e+00;2.81257446e+01;1.18916155e+01;8.42530567e+00;6.43303204e+00;-3.36077280e+01;1.58329894e+01;-3.40249835e+00;4.80392871e+00;2.02940076e+01;1.07865981e+01;5.92674985e-01;1.41102925e+00;-5.00407912e+00;2.94426927e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;6.52067920e+00;8.90043160e+00;1.68797376e+01;3.56031931e-04;1.10359421e+01;3.48110912e-03;-4.12382671e+00;2.52273959e-02;1.43071945e+00;1.02559274e-01;5.87913785e-01;4.81722479e-01;-1.68423381e+00;1.03365201e+00;5.52441221e+00;3.81369128e+00;-1.01647163e+01;4.83827441e+00;-4.78066906e+00;1.52154976e+01;2.79795070e+01;1.18981913e+01;-5.63274572e+00;3.32815383e+01;-3.34085078e+01;1.58421154e+01;1.38946366e+01;4.04651658e+01;2.01483933e+01;1.07935460e+01;-1.04245739e+01;2.56312658e+01;-4.96046485e+00;2.94647032e+00;2.83657787e+00;6.58936304e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;6.52067920e+00;8.90043160e+00;1.68797407e+01;3.56020800e-04;1.10380995e+01;4.06276881e-03;-4.12429783e+00;2.52385627e-02;1.31903891e+00;1.51638304e-01;5.93677940e-01;4.81817076e-01;8.05961650e-03;1.99412146e+00;5.53153031e+00;3.81422242e+00;-2.16251018e+01;1.25681722e+01;-5.00378550e+00;1.52215096e+01;6.88156422e+01;4.31282128e+01;-4.80270154e+00;3.33079739e+01;-1.15308610e+02;8.48164856e+01;1.25797373e+01;4.05134744e+01;1.13032451e+02;9.52802610e+01;-9.46185627e+00;2.56702169e+01;-6.05002685e+01;5.67673056e+01;2.56943809e+00;6.60089330e+00;1.35974169e+01;1.38971401e+01;;;;;;;;;;;;;;;;;;;;;;;;;;
18;6.52067920e+00;8.90043160e+00;1.68798003e+01;3.76565637e-04;1.10381103e+01;4.08055251e-03;-4.13528564e+00;3.38782808e-02;1.31537821e+00;1.51163358e-01;9.09084489e-01;8.07579321e-01;8.29232526e-02;1.98032492e+00;2.08059171e+00;8.04618167e+00;-2.22280314e+01;1.24513731e+01;1.38455083e+01;4.15574751e+01;7.12517399e+01;4.26743925e+01;-6.24563985e+01;1.22815350e+02;-1.20688540e+02;8.38782378e+01;1.15798959e+02;2.15394026e+02;1.19603361e+02;9.42064210e+01;-1.16744890e+02;2.21297279e+02;-6.46572624e+01;5.61222592e+01;6.24575284e+01;1.22842471e+02;1.46590395e+01;1.37380035e+01;-1.38734440e+01;2.84092585e+01;;;;;;;;;;;;;;;;;;;;;;;;
19;6.52067920e+00;8.90043160e+00;1.68798023e+01;3.76726615e-04;1.10375921e+01;4.83102252e-03;-4.13567345e+00;3.39448495e-02;1.34915043e+00;2.26191191e-01;9.24800925e-01;8.11891058e-01;-5.61937267e-01;3.78213238e+00;1.86286860e+00;8.12545776e+00;-1.66802515e+01;3.04622842e+01;1.52468171e+01;4.21746613e+01;4.55870325e+01;1.35820719e+02;-6.73032095e+01;1.25263325e+02;-5.13306837e+01;3.59174515e+02;1.25352546e+02;2.20737021e+02;6.82857084e+00;5.76713258e+02;-1.27467272e+02;2.27773777e+02;4.38794299e+01;5.51366683e+02;6.88247215e+01;1.26919507e+02;-4.22511839e+01;2.88346685e+02;-1.54239463e+01;2.94469265e+01;1.25190072e+01;6.34378065e+01;;;;;;;;;;;;;;;;;;;;;;
20;6.52067920e+00;8.90043160e+00;1.68797987e+01;3.94173269e-04;1.10375467e+01;4.84735018e-03;-4.13484155e+00;4.32113074e-02;1.35230042e+00;2.28454571e-01;8.95208191e-01;1.26388944e+00;-6.23951255e-01;3.84343288e+00;2.27228003e+00;1.58043158e+01;-1.61304327e+01;3.11065788e+01;1.23681581e+01;1.04790345e+02;4.29678305e+01;1.39249631e+02;-5.57071385e+01;4.07394931e+02;-4.40519811e+01;3.69577770e+02;9.70210165e+01;9.73392492e+02;-5.31928386e+00;5.95496196e+02;-8.47998565e+01;1.44495372e+03;5.58540698e+01;5.71291430e+02;3.01533340e+01;1.29732580e+03;-4.86672561e+01;2.99776346e+02;3.90128150e+00;6.44357352e+02;1.39578844e+01;6.61658684e+01;-4.08778557e+00;1.35780362e+02;;;;;;;;;;;;;;;;;;;;
21;6.52067920e+00;8.90043160e+00;1.68798017e+01;3.94680794e-04;1.10358144e+01;5.60646616e-03;-4.13508310e+00;4.35091504e-02;1.49233986e+00;3.21557121e-01;9.13778478e-01;1.27854101e+00;-3.93517164e+00;6.57303261e+00;1.90035461e+00;1.60373833e+01;1.95453532e+01;6.52503208e+01;1.58062321e+01;1.06479870e+02;-1.67417146e+02;3.65505441e+02;-7.30804315e+01;4.14116536e+02;6.98785722e+02;1.24832316e+03;1.48467777e+02;9.89552742e+02;-1.64278318e+03;2.69322787e+03;-1.76032439e+02;1.46932311e+03;2.32605476e+03;3.68357072e+03;1.25129284e+02;1.31999766e+03;-1.97090954e+03;3.09364833e+03;-4.94656966e+01;6.56254877e+02;9.21437985e+02;1.45410405e+03;8.37787481e+00;1.38465574e+02;-1.82930210e+02;2.92608989e+02;;;;;;;;;;;;;;;;;;
