degree;B1;B2;A0;A0_err;A1;A1_err;A2;A2_err;A3;A3_err;A4;A4_err;A5;A5_err;A6;A6_err;A7;A7_err;A8;A8_err;A9;A9_err;A10;A10_err;A11;A11_err;A12;A12_err;A13;A13_err;A14;A14_err;A15;A15_err;A16;A16_err;A17;A17_err;A18;A18_err;A19;A19_err;A20;A20_err;A21;A21_err;A22;A22_err;A23;A23_err;A24;A24_err;A25;A25_err;A26;A26_err;A27;A27_err;A28;A28_err;A29;A29_err;A30;A30_err
5;6.52067920e+00;8.90043160e+00;1.68748125e+01;2.04203632e-04;1.11901748e+01;8.22115395e-04;-4.17996048e+00;1.31510563e-03;2.56639140e-01;3.34704271e-03;2.12918672e+00;1.51300659e-03;-1.12083811e+00;2.99749291e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;6.52067920e+00;8.90043160e+00;1.68905024e+01;2.35480951e-04;1.11772534e+01;8.27769087e-04;-4.51528003e+00;2.83032899e-03;2.98315275e-01;3.36150798e-03;3.16767181e+00;7.90792870e-03;-1.15144377e+00;3.00621106e-03;-7.75322533e-01;5.79491052e-03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;6.52067920e+00;8.90043160e+00;1.68873732e+01;2.36414911e-04;1.10383820e+01;1.24629513e-03;-4.46443959e+00;2.85080739e-03;1.55193128e+00;9.05743611e-03;3.05507515e+00;7.94392794e-03;-3.93714395e+00;1.89295991e-02;-7.07512529e-01;5.81274090e-03;1.73348066e+00;1.16299882e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;6.52067920e+00;8.90043160e+00;1.68829660e+01;2.64578735e-04;1.10426848e+01;1.25168093e-03;-4.30039908e+00;5.26068665e-03;1.52267143e+00;9.09171018e-03;2.13249077e+00;2.61039009e-02;-3.88965292e+00;1.89728346e-02;9.12956534e-01;4.40604977e-02;1.71039027e+00;1.16466317e-02;-8.73205712e-01;2.35349156e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;6.52067920e+00;8.90043160e+00;1.68824043e+01;2.65896220e-04;1.10179217e+01;1.71030536e-03;-4.28385794e+00;5.31800284e-03;1.89030628e+00;1.95466232e-02;2.05828557e+00;2.63366834e-02;-5.35307663e+00;7.14445038e-02;1.02027103e+00;4.43493992e-02;3.83251370e+00;1.00559167e-01;-9.22935342e-01;2.36511981e-02;-1.01084333e+00;4.75775960e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;6.52067920e+00;8.90043160e+00;1.68800148e+01;2.90974662e-04;1.10204771e+01;1.71496499e-03;-4.14803959e+00;8.56752091e-03;1.85541595e+00;1.96224985e-02;8.61387008e-01;6.47902969e-02;-5.23542055e+00;7.16804335e-02;4.67460198e+00;1.86097269e-01;3.68707702e+00;1.00815148e-01;-5.42425609e+00;2.23878775e-01;-9.50119252e-01;4.76718499e-02;1.91960671e+00;9.49397690e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;6.52067920e+00;8.90043160e+00;1.68800741e+01;2.91299555e-04;1.10263958e+01;2.19634223e-03;-4.14943202e+00;8.57364964e-03;1.72617344e+00;3.58154463e-02;8.64673131e-01;6.47953227e-02;-4.45039779e+00;1.95595689e-01;4.68345661e+00;1.86110281e-01;1.75689248e+00;4.58681737e-01;-5.45119101e+00;2.23967794e-01;1.10916085e+00;4.79767256e-01;1.93580568e+00;9.50147893e-02;-7.92732865e-01;1.83775250e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;6.52067920e+00;8.90043160e+00;1.68795442e+01;3.13254521e-04;1.10272594e+01;2.20423128e-03;-4.10731126e+00;1.25455647e-02;1.71176725e+00;3.59510537e-02;3.37634446e-01;1.31645988e-01;-4.39430650e+00;1.95971783e-01;7.08117134e+00;5.53556945e-01;1.68516387e+00;4.58939991e-01;-1.03492314e+01;1.08826134e+00;1.12937637e+00;4.79780911e-01;6.51973208e+00;1.00118163e+00;-7.83546074e-01;1.83783674e-01;-1.60002820e+00;3.47886032e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;6.52067920e+00;8.90043160e+00;1.68796233e+01;3.13868619e-04;1.10339120e+01;2.75205448e-03;-4.11185943e+00;1.25962642e-02;1.51343782e+00;6.08698498e-02;3.86996130e-01;1.32216622e-01;-2.71896495e+00;4.58865669e-01;6.89615391e+00;5.55473745e-01;-4.34398670e+00;1.56210993e+00;-1.00540598e+01;1.09076228e+00;1.16143286e+01;2.64065087e+00;6.31589391e+00;1.00249426e+00;-9.49119028e+00;2.16435763e+00;-1.55147639e+00;3.48105610e-01;2.76952496e+00;6.85904756e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;6.52067920e+00;8.90043160e+00;1.68796158e+01;3.34264342e-04;1.10339421e+01;2.79076803e-03;-4.11104513e+00;1.77602452e-02;1.51263282e+00;6.21175665e-02;3.73074062e-01;2.51851647e-01;-2.71275588e+00;4.68702905e-01;6.98454546e+00;1.47107111e+00;-4.36470010e+00;1.59425912e+00;-1.03190010e+01;4.22887130e+00;1.16479970e+01;2.69090160e+00;6.72040437e+00;6.32193287e+00;-9.51745366e+00;2.20167019e+00;-1.85575486e+00;4.71074608e+00;2.77739780e+00;6.96485632e-01;8.94487343e-02;1.38173460e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
