m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err
2;1.50239904e+01;1.34385018e-03;3.73503908e+02;5.32194017e+03;4.18836442e+03;2.30292467e+04;3.60411378e+03;1.87109125e+04;-1.91787531e+03;9.77823512e+03;1.40399746e+03;7.60440888e+03;-9.54852512e+02;6.36475965e+03;4.79332499e+02;3.75416849e+03;-1.16162194e+02;9.75442607e+02;2.38930416e+01;3.54191366e+02;2.56569987e+02;1.34737127e+03;;;;;;;;;;;;
3;1.50240050e+01;1.34035239e-03;-8.45908542e+01;1.52207558e+03;4.78124172e+03;1.82157297e+04;-1.97635170e+03;9.61653283e+03;-8.86592020e+03;3.35123162e+04;4.45168306e+03;1.70323142e+04;-2.18678214e+03;8.63951607e+03;7.10411227e+02;2.97225072e+03;-1.10929976e+02;5.09184861e+02;-6.59523617e+00;1.01297939e+02;3.25208130e+02;1.17818608e+03;-4.49543072e+02;1.73492078e+03;;;;;;;;;;
4;1.50239895e+01;1.34416968e-03;1.15543154e+03;2.38889663e+04;4.64006013e+03;5.09770180e+04;2.98700565e+03;3.97949728e+04;1.95845761e+04;9.15782605e+05;2.21276383e+04;8.95247185e+05;-1.06803093e+04;4.08388235e+05;4.84591513e+03;1.78765292e+05;-1.05452763e+03;3.76892794e+04;7.59341831e+01;1.58991713e+03;2.36822096e+02;2.43487097e+03;-1.20351880e+00;1.52940749e+03;1.42269446e+03;6.16146958e+04;;;;;;;;
5;1.50240446e+01;1.33989491e-03;1.93557556e+03;4.97462993e+04;-2.41299679e+03;7.83804291e+04;-1.55391874e+04;7.50215481e+04;6.96330723e+03;5.45234830e+05;3.90361153e+04;6.12126190e+05;3.58029851e+03;1.43832259e+05;9.47523394e+02;5.08592849e+04;-2.74597408e+02;1.00278722e+04;1.27862640e+02;3.31095074e+03;-2.82571811e+02;5.93506206e+03;-7.12904348e+02;6.40458996e+03;1.04175695e+03;3.30767592e+04;1.18737363e+03;1.43866701e+04;;;;;;
6;1.50240424e+01;1.34373986e-03;3.29464933e+02;8.68568056e+03;1.43988539e+03;5.31143559e+04;1.66632775e+03;2.99772980e+05;-6.60510832e+02;3.95859089e+05;1.12576245e+03;2.54098546e+05;2.72631719e+00;2.92825444e+03;-3.69366266e+02;1.38915752e+05;1.58137464e+01;2.07633812e+04;2.09639700e+01;5.78084409e+02;7.63486111e+01;3.64642600e+03;4.39777243e+01;1.90839152e+04;-4.21050869e+01;1.19897205e+04;8.10764899e+01;1.39088907e+04;-3.94399986e+01;9.73629589e+03;;;;
7;1.50239931e+01;1.34416092e-03;1.19344698e+03;2.92059492e+04;-2.24220717e+02;9.60660888e+04;1.56895113e+03;3.67066628e+05;3.36078337e+03;5.17371694e+05;6.98924686e+03;7.24436755e+05;-7.56491776e+03;4.53127142e+05;-7.82990181e+03;7.46055510e+05;2.35984869e+02;1.10533942e+05;7.84646689e+01;1.94380227e+03;-8.93588144e+01;8.11817356e+03;2.17749288e+02;3.21946147e+04;3.52512965e+00;1.48260840e+03;4.30333153e+02;3.59267769e+04;-6.59059155e+02;1.25136700e+04;-7.23827169e+01;2.61919950e+04;;
8;1.50240482e+01;1.34348278e-03;5.01427409e+02;1.03646017e+04;-6.24709220e+02;2.54174553e+04;-2.58585799e+03;5.05601467e+04;-6.82450717e+02;1.50772033e+05;5.41215269e+03;4.74205163e+05;2.92345889e+03;5.46412926e+05;7.37538940e+03;9.77329944e+05;4.22040526e+02;1.21702937e+05;3.24096542e+01;6.89824085e+02;-7.20508830e+01;2.25525705e+03;-9.19644969e+01;4.86449215e+03;2.58118585e+01;1.31814311e+04;2.35395162e+02;2.38232856e+04;1.50639738e+02;4.13673304e+04;2.42127223e+02;2.24877386e+04;-1.59146101e+01;3.26350301e+03
