m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;24;0.9999999859775718;20.673616712473013;0.31805564173035406;-1249.2420901507119;-1189.5148172771405;891.6384800924973;4.712952829965644;0.03212314210494771;1.525228126854399;14.978464590121598;0.8240308448694206
3;25;0.999999985465167;31.51214046473147;0.4923771947614292;-1244.0478818896;-1181.8319726462964;891.6384800924973;3.5529503908211524;0.03791817195076419;1.2144382305812953;35.62516598744583;0.024081098582892948
4;26;0.9999999852805918;34.23465757104619;0.5434072630324792;-1240.924802766614;-1176.2202571535784;891.6384800924973;3.276384045566516;0.03912386830259784;1.1849253034435077;47.046862414136186;0.0009255818562973263
5;27;0.9999999867219803;18.504158911802673;0.2984541759968173;-1248.0968671217363;-1180.9036851389685;891.6384800924973;4.656405767953231;0.029744928441819418;1.5412000783330342;15.837348245834134;0.7787191436197985
6;28;0.9999999853930099;33.996084962792764;0.5573128682425044;-1237.607141354754;-1167.9253230022541;891.6384800924973;3.2570666964684136;0.038944412869172496;1.1766612304591801;47.313457775073005;0.0008520487282284748
7;29;0.999999986924051;18.068883178443517;0.3011480529740586;-1245.4617194881932;-1173.2912647659612;891.6384800924973;4.620672896216149;0.028737193410881545;1.5406802830660897;16.062607708760467;0.7661231418696751
8;30;0.9999999869353577;17.991505142969494;0.3049407651350762;-1243.5387112598944;-1168.8796201679302;891.6384800924973;4.628443899246548;0.02891308147833005;1.5500444980067685;16.12739184016954;0.7624512119837072
9;31;0.999999988591834;15.903739432955394;0.27420240401647233;-1253.6053406102862;-1176.4576131485899;891.6384800924973;4.334250917784388;0.03013386399136664;1.763880969862049;14.088203184138559;0.8657808387599855
