m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;h1;h1_err;h2;h2_err;h3;h3_err
2;1.09926994e+01;7.44495137e-04;-3.97294474e+02;7.50181517e+02;-9.33367384e+02;2.78692086e+03;-3.05085584e+02;1.14631375e+03;2.26599973e+01;3.60327686e+01;4.04969075e+00;3.04037717e+01;-3.65266107e+01;6.82491670e+01;-7.08404840e+01;2.66447260e+02;;
3;1.09926998e+01;7.44698952e-04;-4.04360962e+02;1.05899584e+03;-7.21097382e+02;1.19496730e+04;-7.26996731e+01;1.14762481e+04;8.08107183e+01;2.61962869e+03;-3.47349904e+00;3.66586457e+02;-3.71694764e+01;9.63444090e+01;-5.12810713e+01;1.11686061e+03;1.35794621e+01;6.16614850e+02
