n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;3;-302.46025558;-297.11802503;31.56119037;0.00245272
3;2;-303.02449834;-297.68226779;30.77908572;0.00239775
4;2;-301.01530409;-294.78270179;33.50219681;0.00239466
5;2;-278.91395133;-271.79097727;83.28994512;0.00343743
