m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err
2;4.38421835e+00;1.18195765e-03;1.27687784e+00;4.10169223e-01;-6.81427300e-01;5.84935236e-01;2.19075191e-01;6.04406593e-01;-6.68503869e-01;9.07242783e-02;1.88619188e-01;7.32393427e-02;;;;;;;;
3;4.38474001e+00;1.45209969e-03;1.34266646e+04;2.31092934e+07;3.47054652e+03;5.97573644e+06;-2.74517114e+03;4.72466665e+06;3.06154389e+03;5.27101973e+06;-2.14363895e+03;3.69000564e+06;4.97435704e+02;8.56223733e+05;;;;;;
4;4.38474361e+00;1.45209994e-03;-2.46512413e+04;1.49822182e+07;8.58643687e+04;5.22438561e+07;4.39875354e+04;2.67587506e+07;-5.61914038e+03;3.41454552e+06;2.48834021e+04;1.51361990e+07;-1.16264385e+04;7.07278844e+06;2.88444800e+03;1.75485798e+06;;;;
5;4.38463555e+00;1.18815482e-03;-6.64698721e+00;1.15212327e+00;-4.69234138e-01;1.73196904e+00;2.84708356e+00;1.39367041e+00;-2.47276938e+00;2.60365996e-01;1.94755963e+00;5.45598177e-01;-4.95258358e-01;5.73570326e-01;8.95283874e-03;2.96523309e-01;2.30676083e-02;6.61338956e-02;;
6;4.38447571e+00;1.41093304e-03;-5.91598881e+00;9.79539650e+00;-2.11328052e+00;1.83865743e+01;3.78513786e+00;9.16662398e+00;-2.30736097e+00;2.22623969e+00;1.42509448e+00;6.23779308e+00;1.28940908e-01;7.03488823e+00;-3.65389261e-01;4.25576882e+00;1.52863414e-01;1.54804424e+00;-2.01110015e-02;2.62741721e-01
