n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;4;-689.10732471;-676.61799727;0.10990528;0.00988894
3;2;-689.85485581;-679.14971801;0.10795609;0.01028583
4;5;-690.32459418;-672.48269784;0.10174022;0.00936375
5;7;-692.26471603;-669.07025079;0.07225446;0.00835738
6;6;-693.32868554;-670.13422029;0.07047184;0.00830156
7;4;-691.11278598;-669.70251037;0.10100375;0.00856272
8;3;-686.70942361;-665.29914800;0.10879223;0.00894690
9;2;-686.90159821;-665.49132261;0.10438456;0.00907258
10;5;-688.53093062;-659.98389648;0.07659922;0.00791352
11;2;-682.70202006;-657.72336519;0.10899385;0.00911171
12;2;-680.61526918;-653.85242467;0.11265370;0.00913186
13;2;-678.73492257;-650.18788843;0.11723647;0.00910957
14;2;-677.82247517;-647.49125139;0.11980882;0.00869509
