m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;p14;p14_err;p15;p15_err;p16;p16_err;p17;p17_err;p18;p18_err;p19;p19_err;p20;p20_err;p21;p21_err;p22;p22_err;p23;p23_err;p24;p24_err;p25;p25_err;p26;p26_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err
2;4.38510886e+00;1.40397714e-03;-2.17589682e+01;1.35248424e+00;-3.93488187e+01;7.49893763e+00;2.20103359e+01;1.52132226e+02;1.84776542e+03;1.80923859e+03;-9.34651847e+03;1.39398207e+04;3.41543632e+04;7.16692374e+04;-4.94505615e+04;2.51040612e+05;-4.68429236e+04;6.00864942e+05;2.36066660e+05;9.82158017e+05;-2.23729338e+05;1.12445945e+06;-3.44582441e+04;1.00206930e+06;7.24697205e+04;1.25455696e+06;9.78870136e+04;1.34411805e+06;2.96122033e+03;8.47795173e+04;-7.29102870e+04;1.56020494e+06;-1.60052804e+05;2.42593612e+06;1.40378242e+05;2.49598655e+06;6.15790112e+04;1.04377521e+06;-2.19011633e+04;6.88865272e+05;1.74460284e+04;6.30830116e+05;-9.99112340e+04;1.31738680e+06;6.93826209e+04;1.47477192e+06;-4.20510897e+04;5.90699683e+05;3.37424139e+04;3.98325102e+05;-2.32189883e+02;7.09694927e+03;-6.68736216e+03;5.23516359e+04;-8.95746540e+00;3.05044709e-01;2.01554024e+01;1.37425746e+00;;;;
3;4.38530881e+00;1.40640593e-03;-1.96803409e+01;4.42906488e+01;-4.73225844e+01;2.28459399e+02;-3.83221612e+01;3.82474911e+02;2.35249116e+03;1.90633754e+03;-1.22243345e+04;3.01862525e+04;4.80017097e+04;1.65416038e+05;-9.17992247e+04;6.43033692e+05;4.86287731e+04;1.38955047e+06;7.87826004e+04;1.57039748e+06;-6.85498466e+04;2.03456417e+06;-7.44840941e+04;2.22482753e+06;2.05727481e+04;1.10352955e+06;8.80272275e+04;1.90746669e+06;5.13913822e+04;2.11587100e+06;-6.54035895e+04;3.01652574e+06;-7.53660508e+04;4.20521821e+06;-3.88526947e+04;1.44808527e+06;6.58944986e+04;2.96787019e+06;7.82738353e+04;2.57721050e+06;2.55566861e+04;1.63929039e+06;-8.36315792e+04;2.00726607e+06;-4.52064645e+04;1.03548639e+06;4.05517829e+04;1.26473320e+06;-2.76296203e+02;8.10320445e+03;2.41671435e+04;7.91038186e+05;-1.58609696e+04;3.18319616e+05;-8.47404680e+00;1.00960143e+01;1.59643379e+01;9.21030226e+01;9.20378210e+00;2.11218761e+02;;
4;4.38405659e+00;1.25708059e-03;-3.39909918e+01;1.38155879e+01;4.00870924e+01;5.98817853e+01;1.78385235e+02;1.09729391e+02;-5.17783767e+02;7.48068169e+02;6.13786702e+02;3.15480515e+03;1.48912272e+03;1.07151626e+04;1.63542259e+02;2.72154490e+04;-6.02214577e+02;4.24873429e+04;-2.23743241e+02;5.43455084e+04;-4.43456971e+02;5.45406370e+04;2.37548868e+02;4.26681837e+04;7.04833292e+02;3.92406797e+04;-9.97014046e+01;1.46740437e+04;1.16444375e+02;3.65949049e+04;-5.43983961e+01;1.22288991e+04;-3.71686307e+02;9.88935514e+04;-2.37252203e+02;8.58371967e+04;-1.74731975e+02;8.07044415e+04;2.16640365e+02;1.09663815e+05;3.80022859e+02;1.05441080e+05;1.11216409e+02;6.55349983e+04;-6.80130897e+00;5.27740661e+03;2.99363928e+01;2.10218011e+04;-3.01852503e+02;8.45451547e+04;-1.74595300e+02;9.64167606e+04;2.26201581e+02;3.08829586e+04;-1.17909418e+01;3.14768768e+00;5.15375912e+01;2.61638343e+01;-1.10936077e+02;7.89493116e+01;1.20708097e+02;1.07206178e+02
