m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;6;0.9999999897145296;3.449197878319473;0.09322156427890467;-684.2274967289119;-673.6602960347506;3.420028800773595;0.7517692492804429;0.009166711260863991;2.0200227812480174;6.668355680043268;0.08325426242618673
3;7;0.9999999900459652;3.4114409062900766;0.09476224739694657;-683.6359304097942;-671.3075295999394;3.420028800773595;0.7403985867746599;0.008839020264431952;2.0539756786757573;6.784380256735394;0.07909726679852096
4;8;0.9999999876247891;3.97956043502684;0.11370172671505258;-672.2740835690864;-658.1844826435379;3.420028800773595;0.8253086463270165;0.01095823777518845;1.7712126359389753;5.656977790683119;0.12954532792194262
5;9;0.9999999900121406;3.4161420274991747;0.10047476551468161;-679.4900607048287;-663.6392596635866;3.420028800773595;0.7442649583779826;0.008797875995149695;2.0410787369072003;6.812229411134602;0.07812967615841644
6;10;0.9999999906373201;2.511958289267522;0.07611994815962188;-680.2695267217551;-662.6575255648195;3.420028800773595;0.8216730416918949;0.009400813054442736;1.7208835504904358;6.593516477184341;0.08604651232727918
7;11;0.9999999907372878;3.301417025595933;0.10316928204987291;-678.7311172264531;-659.3579159538239;3.420028800773595;0.7070024381050644;0.008244059828404815;1.9901415927669843;7.503740258241733;0.057462426584799324
8;12;0.999999991313564;2.9400162909556005;0.09483923519211615;-679.4931860693915;-658.3587846810688;3.420028800773595;0.7072590537866574;0.008127526066974866;2.1271147381701856;8.76223858412788;0.0326249174795327
9;13;0.9999999912557458;2.963927799830974;0.09879759332769913;-677.2079201163151;-654.3123186122988;3.420028800773595;0.7028094594332401;0.008295077029750075;2.1190675834303367;8.588834880509586;0.03528779138348324
10;14;0.9999999916278614;2.808481347694024;0.0968441844032422;-677.0778810076914;-652.4210793879815;3.420028800773595;0.7720277740048687;0.007860540625323154;2.190051452666421;9.590065755644236;0.02239226543217425
11;15;0.9999999915964892;2.7984034516059;0.09994298041449644;-674.9170521703146;-648.4990504349112;3.420028800773595;0.7801512900442731;0.007844903076570375;2.187971356606337;9.655126320379415;0.021737073104240813
12;16;0.9999999927106046;1.771627775412879;0.06561584353381034;-679.032897125831;-650.853695274734;3.420028800773595;0.679452201474362;0.007603038700388254;2.252864519957869;9.995077610529078;0.018608023953212736
13;17;0.9999999914225052;2.7859347677571584;0.10715133722142917;-670.0358824251368;-640.0954804583463;3.420028800773595;0.7896525068247229;0.007925666026029177;2.161702695534025;9.474141667788082;0.023608046787959008
