m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err
2;1.50246003e+01;1.03142059e-03;7.08381070e+01;3.41999486e+01;8.39719399e+01;5.78480679e+01;9.71060871e+00;6.16662541e+00;3.75690160e+00;2.27903205e+00;2.38541048e+00;1.62806544e+00;;;;;;;;;;;;;;;;;;;;;;
3;1.50245433e+01;1.08820132e-03;5.88372673e+01;7.24446793e+01;6.71201774e+01;1.07299324e+02;1.14973708e+01;1.01382587e+01;2.95778507e+00;4.82494142e+00;2.03691090e+00;2.49682878e+00;7.09575323e-02;3.58189428e-01;;;;;;;;;;;;;;;;;;;;
4;1.50246786e+01;1.12999450e-03;9.13555014e+01;7.51531040e+01;-2.86222098e+01;6.80701234e+01;-2.11297305e+02;2.16403770e+02;5.12333886e+00;5.00591307e+00;-6.44099641e+00;7.04946050e+00;-5.46307647e+00;5.50028088e+00;4.68600726e-01;4.58973916e-01;;;;;;;;;;;;;;;;;;
5;1.50245510e+01;1.08906288e-03;3.80209062e+01;7.29409811e+01;-2.79787955e+01;2.80380133e+01;-9.23941374e+01;1.59351519e+02;1.57235794e+00;4.85801842e+00;-2.96663247e+00;4.43622195e+00;-2.59159192e+00;4.05107900e+00;3.43644152e-01;3.12837600e-01;-3.60767285e-02;3.26092801e-02;;;;;;;;;;;;;;;;
6;1.50240958e+01;7.98383220e-04;-5.37430707e+01;7.16233508e+00;-7.26418012e+00;1.22536990e+01;1.19776548e+02;3.02670752e+01;-4.53747129e+00;4.76597335e-01;4.31028665e+00;1.26202765e+00;1.69073842e+00;7.84141576e-01;9.59691359e-01;3.78804481e-01;-6.36882350e-01;2.24598314e-01;1.49185843e-01;5.78532272e-02;;;;;;;;;;;;;;
7;1.50239898e+01;1.34419767e-03;1.79402093e+05;2.98504437e+07;4.33700334e+03;2.15929015e+06;-2.10286794e+05;3.81188524e+07;1.19395751e+04;1.98676771e+06;-1.11583144e+04;2.04858233e+06;1.69721411e+03;2.58265253e+05;-7.21335989e+03;1.25703477e+06;5.73632600e+03;1.01261824e+06;-2.56379547e+03;4.58733042e+05;5.05887758e+02;9.19499444e+04;;;;;;;;;;;;
8;1.50239895e+01;1.34418502e-03;5.77602973e+04;7.12798210e+06;-5.18026180e+04;4.89386831e+06;-3.48862815e+04;3.66520315e+06;3.84328891e+03;4.74404716e+05;-7.12592018e+03;7.79792847e+05;6.02846375e+03;6.91463033e+05;-8.49426768e+03;9.58806218e+05;8.45604766e+03;9.40942221e+05;-5.85020273e+03;6.39073267e+05;2.45474641e+03;2.62280609e+05;-4.63350112e+02;4.82936505e+04;;;;;;;;;;
9;1.50240135e+01;1.34416032e-03;3.07093171e+03;6.73979318e+04;-3.68954985e+03;7.23413554e+04;-3.03196072e+03;1.19677023e+05;2.03425072e+02;4.48570784e+03;-4.39803882e+02;8.86424693e+03;2.99782507e+02;5.82505951e+03;-4.55741080e+02;8.27642320e+03;4.45625380e+02;8.56757068e+03;-2.88631222e+02;7.11629825e+03;9.91246509e+01;4.96782413e+03;-4.06076753e+00;2.43199876e+03;-5.34447756e+00;5.48725711e+02;;;;;;;;
10;1.50239839e+01;1.34415685e-03;1.41217643e+03;1.74778057e+04;4.69797192e+02;4.16374990e+04;-1.04885105e+03;4.53923229e+04;9.30212218e+01;1.16320961e+03;-5.70467021e+01;3.33293085e+03;1.75543718e+01;5.78118278e+03;-9.96990733e+00;6.74787060e+03;-1.20735237e+02;8.42300305e+03;3.42515289e+02;9.04748101e+03;-4.87992451e+02;7.80455133e+03;4.02217820e+02;4.89837608e+03;-1.81660911e+02;1.90838603e+03;3.48359505e+01;3.37129852e+02;;;;;;
11;1.50239875e+01;1.34415148e-03;1.34149358e+03;1.91389710e+04;-2.00265742e+02;8.51600461e+04;-2.33038537e+00;3.08066711e+03;8.83175529e+01;1.27377961e+03;-9.71799039e+01;5.36407103e+03;1.24481774e+02;5.00594209e+03;-1.34762129e+02;6.52920967e+03;7.16147963e+01;5.82926987e+03;5.33545318e+01;4.81704678e+03;-1.11412160e+02;2.15269887e+04;2.48426469e+01;3.55229521e+04;7.77288809e+01;3.15720807e+04;-7.14219182e+01;1.49822945e+04;1.93391780e+01;2.98100387e+03;;;;
12;1.50239978e+01;1.34262663e-03;3.16760252e+03;2.96609012e+04;-1.53112335e+04;3.62213501e+05;1.83221768e+04;7.43623921e+05;2.09857500e+02;1.97408228e+03;-1.21938467e+03;2.59964487e+04;2.46887070e+03;7.51564025e+04;-2.83379415e+03;8.21809790e+04;3.50510116e+03;1.06394594e+05;-3.48304683e+03;1.15575110e+05;2.22123188e+03;8.92351322e+04;-1.00990029e+02;3.72756157e+04;-1.52050516e+03;4.57998816e+04;1.64528998e+03;5.44463577e+04;-8.09266030e+02;2.92798439e+04;1.62017841e+02;6.30028856e+03;;
13;1.50239887e+01;1.34419446e-03;7.41629722e+03;5.92686343e+05;6.90258275e+03;6.28734809e+05;1.64711215e+04;2.72430181e+06;4.92626969e+02;3.94462994e+04;-1.15235866e+01;1.18462929e+04;1.30432502e+03;1.90301840e+05;-1.27619295e+03;1.83520202e+05;1.74562799e+03;2.44855042e+05;-2.46124613e+03;3.00540297e+05;2.48335403e+03;3.87737683e+05;-4.07192175e+02;6.22245872e+05;-2.25887480e+03;9.07617539e+05;1.91615030e+03;1.06380346e+06;5.74410330e+02;9.16411241e+05;-1.33205106e+03;4.71401610e+05;4.55017611e+02;1.03697246e+05
