m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err;h24;h24_err
2;4.67160914e+00;8.21453638e-04;6.70455282e+00;2.23478196e-01;6.45997295e+00;4.67037070e-01;7.93946656e+01;5.38472726e+00;8.59072161e+01;9.25163007e+00;-9.38374133e+01;7.72512446e+00;2.96702349e+01;2.44599787e+00;-2.46387899e+00;4.36662833e-02;6.19623002e+00;6.55233274e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.67231040e+00;8.40653574e-04;1.53075096e+01;4.50550093e+00;2.44974067e+01;9.28355512e+00;6.09247566e+01;8.46004744e+00;5.40713814e+02;2.07549165e+02;-2.64843165e+02;7.32126351e+01;6.59789794e+01;1.49809525e+01;-5.82832502e-01;9.76384506e-01;1.63760892e+00;2.20347101e+00;1.57364904e+01;7.60990233e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.67226620e+00;8.38089422e-04;-7.64736947e+00;4.88917576e+00;9.68284080e+00;5.38668062e+00;9.77876052e+01;1.26395520e+01;-1.66201308e+02;1.63912206e+02;8.20319547e+02;2.80666584e+02;-1.16509512e+02;4.79574146e+01;-5.52164471e+00;1.05351409e+00;1.86299778e+01;3.90607477e+00;-3.06507082e+01;1.04105592e+01;4.20859151e+01;1.17513328e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.67210626e+00;8.42024534e-04;-1.33175641e+01;7.65826952e+00;2.26068383e+01;2.53883106e+01;2.00822686e+02;1.29359373e+02;-5.48185513e+02;2.93650019e+02;2.82210552e+03;2.43361483e+03;1.13663479e+02;4.68771698e+02;-6.75989392e+00;1.63899229e+00;2.71473592e+01;7.71420455e+00;-4.88005434e+01;1.73363621e+01;8.17421015e+01;4.23408550e+01;4.91949335e+01;7.40256450e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.67209074e+00;8.41435517e-04;-1.99653355e+01;6.72205700e+00;3.98492238e+01;2.55769184e+01;1.81402291e+02;8.16762279e+01;-7.78692737e+02;3.36660997e+02;3.46159874e+03;1.99378918e+03;-2.66130455e+03;1.46444706e+03;-8.18365848e+00;1.44889273e+00;3.64210737e+01;1.02549985e+01;-8.32303390e+01;2.90311801e+01;1.43346710e+02;6.34201566e+01;-4.22940501e+01;4.05569804e+01;-3.80074228e+01;2.20583770e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.67217384e+00;8.40295976e-04;-3.59194049e+01;4.23008167e+00;4.07039389e+01;2.86473062e+01;1.04766295e+02;2.33464400e+01;-3.20682502e+01;4.84480728e+02;-9.54407786e+02;2.12946109e+03;7.18778666e+03;5.64321432e+03;-1.15658574e+01;9.13941674e-01;4.82876781e+01;1.00188939e+01;-1.04346537e+02;4.09294897e+01;1.37248380e+02;8.92386821e+01;-4.07096092e+01;1.13783975e+02;2.59036902e+02;1.16630771e+02;-3.77200250e+01;1.06596850e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.67217354e+00;8.41492606e-04;-3.88512667e+01;1.74767620e+01;6.51401225e+01;1.34395664e+02;6.87737805e+01;1.55472298e+02;-1.55683984e+02;9.47114177e+02;-3.49753293e+02;4.45875596e+03;5.51589998e+03;1.15870961e+04;-1.21945534e+01;3.75439041e+00;5.60218840e+01;4.39758428e+01;-1.40183669e+02;1.95852641e+02;2.26249433e+02;4.74941015e+02;-1.78553885e+02;7.04444349e+02;3.30430475e+02;3.04826670e+02;-9.28169130e+01;2.52965555e+02;1.33310493e+01;6.15176960e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.67215248e+00;8.39005258e-04;-3.72382967e+01;1.07579484e+01;4.60480402e+01;1.01542493e+02;1.52908253e+02;3.13944391e+02;-3.34701332e+02;3.57021189e+02;-4.93421180e+00;4.65161570e+02;4.59948544e+03;1.69513897e+03;-1.18528705e+01;2.29200546e+00;5.07667082e+01;3.01738658e+01;-1.06295397e+02;1.65677208e+02;1.07139067e+02;5.15311924e+02;7.93794957e+01;1.02122762e+03;-6.38275845e+01;1.32875412e+03;2.28677397e+02;1.09370790e+03;-1.41017923e+02;5.11151102e+02;3.21081208e+01;1.03557156e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.67216539e+00;8.42172394e-04;-3.52352177e+01;3.86322586e+01;3.26083490e+01;2.87149804e+02;1.33614651e+02;2.02349776e+02;-5.77040689e+01;2.64099885e+03;-9.10085843e+02;9.62887783e+03;6.88029750e+03;2.24814828e+04;-1.14207646e+01;8.28959461e+00;4.60519706e+01;9.46780660e+01;-9.12962517e+01;3.84160632e+02;1.01492419e+02;7.05066989e+02;4.28472964e+00;4.55235815e+02;2.51952208e+02;2.31721352e+03;-1.46382712e+02;3.66475289e+03;1.64883207e+02;3.57722390e+03;-1.06692979e+02;1.83139650e+03;2.67256291e+01;3.87353969e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4.67217248e+00;8.42053950e-04;-3.59672778e+01;6.26193159e+01;3.86222008e+01;5.14064546e+02;1.28803034e+02;8.20221104e+02;-1.14630334e+02;3.78179991e+03;-7.42125096e+02;1.49108475e+04;6.57731092e+03;3.14985053e+04;-1.15771519e+01;1.34204570e+01;4.79387270e+01;1.62898228e+02;-9.88125193e+01;7.37561772e+02;1.09930280e+02;1.66041527e+03;3.04802907e+01;2.29320700e+03;1.16874935e+02;6.30064323e+03;1.05511282e+02;1.24107118e+04;-1.21042951e+02;1.57476777e+04;8.63540784e+01;1.19756235e+04;-4.48464410e+01;5.07520761e+03;1.11695448e+01;9.27056006e+02;;;;;;;;;;;;;;;;;;;;;;;;;;
