m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err;h24;h24_err;h25;h25_err;h26;h26_err
2;4.66973417e+00;7.69623680e-04;9.41498295e+00;3.86322214e-02;1.09501190e+01;3.35168152e-01;1.33696335e+02;1.09071386e+00;-2.44678118e+01;3.22629511e-01;-1.93982401e+00;1.22519893e-02;6.28144040e+00;3.02003135e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.66982763e+00;8.07002366e-04;9.34293269e+00;1.87455461e-01;1.08335381e+01;4.43361690e-01;1.32340675e+02;3.67291240e+00;-2.52371095e+01;1.98610771e+00;-1.95347201e+00;3.67182795e-02;6.28181306e+00;2.99382927e-02;-7.87316114e-02;2.01723233e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.67228391e+00;8.42526891e-04;4.33359730e+01;1.25934041e+01;9.87737553e+01;3.19457331e+01;1.24449564e+02;1.71761246e+01;1.57735260e+03;5.54656223e+02;5.44998275e+00;2.72140505e+00;-7.20396485e+00;4.64610880e+00;4.98717845e+01;1.80144864e+01;2.44249898e+01;8.28583637e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.67232571e+00;8.39074063e-04;7.82066389e+00;2.52421372e+00;1.84037144e+01;6.97032178e+00;6.70080636e+01;6.78055206e+00;3.21869859e+02;1.34689778e+02;-2.19187102e+00;5.48197759e-01;6.84978845e+00;9.22323832e-01;1.23505085e+00;3.75596788e+00;1.17236487e+01;2.61183337e+00;-1.91820520e+00;2.57084212e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.67231753e+00;8.38074294e-04;-3.27681575e-01;3.82402668e+00;8.87986974e+00;6.52609714e+00;6.21052704e+01;5.91945168e+00;1.17479986e+02;1.34904862e+02;-3.94190532e+00;8.24242009e-01;1.18251344e+01;2.15813389e+00;-1.29668083e+01;6.50021609e+00;1.84432683e+01;3.42285861e+00;-8.47478217e+00;2.69979440e+00;1.78516653e+00;7.33446354e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.67234829e+00;8.35647058e-04;-8.04742068e+00;4.64493147e+00;1.12357843e+01;4.84438816e+00;5.64809580e+01;5.90345523e+00;-5.01033145e+00;1.13672474e+02;-5.59484615e+00;9.96522652e-01;1.87790646e+01;3.83027266e+00;-3.31876698e+01;1.11924068e+01;4.31687283e+01;1.31353498e+01;-3.39341745e+01;1.32813279e+01;1.49884181e+01;6.81914320e+00;-2.85933161e+00;1.46586259e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.67232239e+00;8.37621511e-04;-2.78809040e+00;3.86921151e+01;-1.15197133e-01;7.18862062e+01;7.17242305e+01;1.00355816e+02;4.34092148e+01;4.45039190e+02;-4.47067721e+00;8.27835551e+00;1.20403629e+01;4.71305428e+01;-1.02792135e+01;1.58954421e+02;6.31832980e-01;2.85519952e+02;2.20740801e+01;3.74563342e+02;-2.95948831e+01;2.95637783e+02;1.71053514e+01;1.31382451e+02;-3.85650763e+00;2.52174149e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.67216496e+00;8.43243126e-04;2.25604743e+02;1.03786278e+03;-1.06306255e+03;4.58042729e+03;2.24188393e+03;9.34461763e+03;-1.90052432e+02;9.69086026e+02;4.43138981e+01;2.21750301e+02;-4.00421700e+02;1.82273755e+03;1.73518591e+03;7.64854312e+03;-4.33088760e+03;1.87750839e+04;7.28457583e+03;3.13531982e+04;-8.04792701e+03;3.44733667e+04;5.61867478e+03;2.40033718e+04;-2.24987514e+03;9.59983409e+03;3.93855458e+02;1.68013365e+03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.67234205e+00;8.39384712e-04;-7.07868757e+00;2.07263249e+01;-3.00623608e+00;3.56232674e+01;7.95933843e+01;3.99627449e+01;-3.03865865e+01;4.29206707e+02;-5.38988398e+00;4.42728411e+00;1.50321226e+01;2.42529147e+01;-1.61693038e+01;5.84965688e+01;-3.14406980e-03;7.65080208e-01;2.69607933e+01;2.60698966e+02;-2.48784872e+01;7.34587582e+02;-1.39837353e+01;1.02710452e+03;3.92397985e+01;8.20277092e+02;-2.62035743e+01;3.57702925e+02;6.13757052e+00;6.63223356e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4.67219277e+00;8.42010755e-04;1.55021101e+01;6.17440178e+01;-1.67178357e+02;3.48707703e+02;4.21884624e+02;8.63908402e+02;-7.67941836e+01;8.68721502e+02;-5.85383628e-01;1.31833994e+01;-3.75981437e+01;1.23647764e+02;2.19311798e+02;5.70893629e+02;-5.42874267e+02;1.57111024e+03;6.56590781e+02;2.97716614e+03;1.16686744e+02;4.19780659e+03;-1.66534419e+03;4.79202662e+03;2.62619285e+03;4.43388388e+03;-2.08318366e+03;2.90291455e+03;8.70281374e+02;1.12928403e+03;-1.52598023e+02;1.93350124e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;4.67215314e+00;8.42796858e-04;5.72585433e+00;9.06935018e+01;-1.12289168e+02;2.91899524e+02;1.43248843e+02;3.96992384e+02;5.61900230e+02;2.72628704e+03;-2.68415623e+00;1.93749512e+01;-1.75031287e+01;1.35812653e+02;9.06030011e+01;3.39717749e+02;-4.65187967e+00;1.71475331e+02;-7.23237208e+02;1.13411307e+03;2.40949748e+03;3.14487487e+03;-3.64472747e+03;1.18814111e+04;2.43871229e+03;2.75878338e+04;3.92638636e+02;3.60229540e+04;-1.83143066e+03;2.73967795e+04;1.17612678e+03;1.14290327e+04;-2.60346288e+02;2.03104505e+03;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;4.67218435e+00;8.42354099e-04;1.27710278e-01;4.57367967e+01;-1.15864607e+02;1.99990600e+02;3.24640794e+02;4.24884015e+02;8.72199727e+00;1.04002172e+03;-3.87621055e+00;9.76220681e+00;-1.38583387e+01;7.77524674e+01;1.23752651e+02;2.95744308e+02;-2.72017533e+02;6.84085773e+02;6.26273327e+01;1.36018722e+03;1.08372912e+03;2.60667263e+03;-2.54454084e+03;4.31051112e+03;2.31628243e+03;6.27729906e+03;1.28033140e+02;8.37933366e+03;-2.32171685e+03;9.15461875e+03;2.25090665e+03;6.85331692e+03;-9.64970032e+02;2.96704385e+03;1.63491486e+02;5.53734979e+02;;;;;;;;;;;;;;;;;;;;;;;;;;
14;4.67212609e+00;8.42838210e-04;2.40070868e+01;1.16617080e+02;-3.31386807e+02;8.17716848e+02;9.52395372e+02;2.21091481e+03;-4.41472359e+02;1.89379194e+03;1.21033609e+00;2.48884718e+01;-7.86635527e+01;2.68005679e+02;4.66231134e+02;1.32853194e+03;-1.24337912e+03;3.78862389e+03;1.73124326e+03;6.99711172e+03;-5.41991634e+02;8.62253692e+03;-1.88390972e+03;8.55951852e+03;2.28565755e+03;1.12036946e+04;3.48925816e+02;1.31675497e+04;-1.98845959e+03;1.19730416e+04;3.19484777e+02;1.12609887e+04;1.49138755e+03;8.70955916e+03;-1.18223617e+03;3.83821817e+03;2.81782246e+02;7.07788560e+02;;;;;;;;;;;;;;;;;;;;;;;;
15;4.67216088e+00;8.41621128e-04;-4.53464791e+01;1.18143658e+01;1.55917426e+02;1.45670506e+02;-3.99900010e+02;8.78328834e+02;8.76488177e+02;1.86839340e+03;-1.35906986e+01;2.51653768e+00;8.11111577e+01;3.87437763e+01;-3.34201571e+02;2.99006673e+02;1.09626340e+03;1.21110509e+03;-2.57478296e+03;2.51279906e+03;4.17339726e+03;2.60688986e+03;-3.64117905e+03;2.08373081e+03;-6.20443605e-01;4.14211412e+01;2.84703183e+03;1.45016105e+04;-8.90518103e+02;3.38447246e+04;-2.24930148e+03;4.44691107e+04;1.25255777e+03;5.05600717e+04;1.42956888e+03;4.22774393e+04;-1.59318445e+03;1.95941875e+04;4.39992053e+02;3.75856708e+03;;;;;;;;;;;;;;;;;;;;;;
16;4.67218038e+00;8.41290090e-04;-4.93730483e+01;2.35351403e+01;1.95227533e+02;1.86746528e+02;-5.09852994e+02;7.32236131e+02;9.41814396e+02;1.56480363e+03;-1.44488266e+01;5.03724212e+00;9.27031757e+01;5.81393495e+01;-3.95911629e+02;3.14236779e+02;1.27388659e+03;1.09806690e+03;-2.90710236e+03;2.43188848e+03;4.60218155e+03;4.77745405e+03;-4.03801222e+03;9.29058453e+03;1.84746632e+02;9.05881618e+03;3.06980031e+03;4.14091700e+04;-1.28808816e+03;1.01745992e+05;-2.37081968e+03;1.28217927e+05;1.79552291e+03;8.98029704e+04;1.51018977e+03;3.72348169e+04;-2.43716019e+03;2.47748224e+04;1.11907860e+03;1.26921876e+04;-1.74394734e+02;2.44542572e+03;;;;;;;;;;;;;;;;;;;;
17;4.67202007e+00;8.40599820e-04;-4.33136176e+01;2.27639062e+01;1.13906690e+02;6.79797186e+01;-1.47953505e+02;4.96462564e+02;3.97074357e+02;2.15753182e+03;-1.31614684e+01;4.86979179e+00;7.06751277e+01;2.99212096e+01;-2.45834766e+02;1.69612128e+02;7.39780580e+02;8.61348766e+02;-1.80985680e+03;1.92274821e+03;3.29220051e+03;1.77924981e+03;-3.43639319e+03;5.03021855e+03;5.87358230e+02;1.07615061e+04;2.44111901e+03;2.89414978e+04;-9.78687986e+02;6.22145224e+04;-2.10702965e+03;5.06229046e+04;3.82149475e+02;2.37614072e+04;2.96488973e+03;7.85477906e+04;-1.46503778e+03;8.84803820e+04;-1.77264238e+03;7.03356146e+04;1.84695860e+03;3.32335685e+04;-4.84583088e+02;6.50450922e+03;;;;;;;;;;;;;;;;;;
18;4.67211327e+00;8.34809259e-04;-3.18140725e+01;1.11718125e+01;1.33668854e-01;1.52823995e+01;2.09064291e+02;6.43451290e+02;6.09616192e+01;2.09181850e+03;-1.07081312e+01;2.39991112e+00;3.71964753e+01;1.22157097e+01;-5.88682898e+01;9.60848660e+01;1.63528282e+02;7.53277014e+02;-6.75757999e+02;1.73265341e+03;1.78710809e+03;1.53126230e+03;-2.09382286e+03;2.87480188e+03;-5.27833694e+01;5.00940858e+03;2.02307757e+03;9.29942415e+03;-8.86122068e+01;5.18837857e+03;-1.87108087e+03;2.69645527e+04;-4.75891022e+02;3.11365571e+04;1.53185948e+03;4.45412486e+04;1.32428746e+03;9.02009835e+04;-1.30772771e+03;1.16498691e+05;-1.80494304e+03;1.06552327e+05;2.23824735e+03;5.26154068e+04;-6.56442001e+02;1.04452536e+04;;;;;;;;;;;;;;;;
19;4.67205382e+00;8.41717570e-04;-3.14076642e+01;3.11951278e+01;7.75336183e-01;9.93792946e+01;1.50932176e+02;1.57041853e+03;2.73258881e+02;5.33101881e+03;-1.06212324e+01;6.69458053e+00;3.69607883e+01;4.47676950e+01;-6.97718478e+01;2.42497456e+02;2.39251764e+02;1.85618790e+03;-8.33534019e+02;4.39518385e+03;1.81734587e+03;5.35018114e+03;-1.57439568e+03;1.32280721e+04;-8.12501079e+02;2.54158169e+04;1.76015422e+03;4.06819201e+04;1.03213778e+03;4.26299145e+04;-1.80730498e+03;5.31579806e+04;-1.37846122e+03;7.70960408e+04;1.06941003e+03;1.17649186e+05;1.70318606e+03;9.66327960e+04;5.34469531e+01;5.52841010e+03;-1.84864399e+03;3.35549627e+04;-4.60828460e+02;6.45576323e+04;1.73274000e+03;5.53925285e+04;-6.33729436e+02;1.47458336e+04;;;;;;;;;;;;;;
20;4.67203253e+00;8.40169471e-04;-3.12484699e+01;2.29014984e+01;7.12269343e-01;7.32195689e+01;1.45037953e+02;1.65509418e+03;2.87731888e+02;5.17033653e+03;-1.05882254e+01;4.92050745e+00;3.68546680e+01;2.66013024e+01;-7.12694987e+01;3.10641207e+02;2.51751903e+02;2.03269461e+03;-8.83283718e+02;4.59668409e+03;1.95135733e+03;5.02208026e+03;-1.80398690e+03;1.43666394e+04;-6.54144926e+02;2.80443104e+04;2.01415134e+03;3.09380967e+04;3.84243387e+02;2.39411097e+04;-1.52081484e+03;5.85078673e+04;-9.16929894e+02;8.05684030e+04;7.89254828e+02;5.89013517e+04;1.31919319e+03;4.78043642e+04;4.71735107e+01;6.69634106e+03;-1.30960385e+03;3.79413869e+04;-1.99520819e+02;3.32269491e+04;6.09291114e+02;5.04352298e+04;1.70525653e+02;4.02117414e+04;-1.88467629e+02;1.07527040e+04;;;;;;;;;;;;
21;4.67211264e+00;8.39442818e-04;-3.14598789e+01;1.96318970e+01;3.31396393e-01;6.72381297e+01;1.75194163e+02;9.85955408e+02;1.76957895e+02;3.38311357e+03;-1.06313794e+01;4.20877648e+00;3.68951044e+01;2.85517652e+01;-6.44736014e+01;1.54987941e+02;2.03003068e+02;1.20254560e+03;-7.55076671e+02;3.03904960e+03;1.80346442e+03;4.26950901e+03;-1.89633143e+03;7.71194096e+03;-1.85301851e+02;1.56900057e+04;1.56461478e+03;2.91477207e+04;3.57813960e+02;2.63149720e+04;-1.22915925e+03;4.40790248e+04;-9.91004616e+02;7.05165343e+04;5.80300352e+02;6.31165421e+04;1.46772417e+03;5.29588309e+04;1.86509661e+02;2.86437622e+04;-1.20091357e+03;1.22250252e+05;-8.64096517e+02;1.39266758e+05;7.44828288e+02;8.07218871e+04;1.09422404e+03;7.08991271e+04;-1.08043333e+03;4.05121816e+04;2.50000476e+02;8.38279977e+03;;;;;;;;;;
