m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err
2;4.38403125e+00;1.36385329e-03;-5.95147821e-01;2.09650457e+00;-1.77389685e+01;8.21352480e+00;1.17092556e+02;1.01714438e+02;-2.98389112e+02;6.39357978e+02;1.66997682e+03;3.46831925e+03;-2.80723949e+03;1.06205849e+04;6.48320490e+02;1.98704245e+04;3.89357718e+03;2.34765814e+04;-5.59846266e+03;1.71785024e+04;3.22021336e+03;7.12724109e+03;-7.05481359e+02;1.28384628e+03;-4.18289294e+00;5.00066039e-01;8.18164221e+00;1.94105768e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.38474731e+00;1.45196413e-03;1.96358881e+02;1.23040115e+03;-1.87071113e+02;9.87428283e+02;-1.55896904e+03;9.28260383e+03;1.34809997e+04;7.83513211e+04;-6.54091742e+04;3.72692646e+05;3.09758513e+05;1.79003796e+06;-7.32399107e+05;4.24387858e+06;9.92981209e+05;5.75346721e+06;-7.93146557e+05;4.59213461e+06;3.48833593e+05;2.01790006e+06;-6.53682498e+04;3.77824492e+05;4.08237139e+01;2.80945784e+02;-2.18166847e+02;1.38606578e+03;4.62205573e+02;2.86630968e+03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.38416905e+00;1.16627082e-03;-3.40327219e+01;2.10762943e+00;4.29268104e+01;1.17264064e+01;1.53252393e+02;4.45039510e+01;-4.09550516e+02;2.73898681e+02;6.82499216e+01;1.47514583e+03;3.40401010e+03;4.83446928e+03;-1.35933934e+03;7.68100030e+03;-1.84087016e+03;7.78210185e+03;1.97691013e+03;5.34510461e+03;-5.38221004e+02;2.37741816e+03;-1.64202840e+01;5.05195068e+02;-1.17958346e+01;4.70191369e-01;5.20218865e+01;4.06620317e+00;-1.15425929e+02;1.35047484e+01;1.31933626e+02;2.07348447e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.38450892e+00;1.23813362e-03;-3.08547044e+01;1.78078279e+01;1.90280107e+01;1.21855945e+02;1.66067129e+02;1.18999106e+02;-1.41601654e+02;7.66446098e+02;-1.00698128e+03;2.81444756e+03;5.39688793e+03;6.01983031e+03;2.22438475e+02;1.46412479e+04;-4.08415965e+03;1.20963938e+04;3.10823657e+03;7.84044174e+03;-7.27663292e+02;5.62654592e+03;-3.10291468e+01;1.57111645e+03;-1.10603961e+01;4.06970889e+00;4.32610273e+01;4.44625718e+01;-7.60792852e+01;1.87048741e+02;3.92099318e+01;4.10776509e+02;1.18823293e+02;4.61332844e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.38478480e+00;1.32303913e-03;-3.05246124e+01;5.29800740e+01;2.00592329e+01;4.54635566e+02;1.26761062e+02;1.06479593e+03;5.36998340e+01;1.25213177e+03;-1.64041789e+03;6.72161903e+03;6.78523423e+03;2.03530509e+04;7.36433415e+02;1.03211607e+05;-2.98539495e+03;2.09337072e+05;2.72801511e+03;1.76109268e+05;-9.76385988e+02;7.78417645e+04;1.13332975e+02;1.45392592e+04;-1.09758561e+01;1.20903197e+01;4.28414553e+01;1.52333150e+02;-7.91081009e+01;7.83048167e+02;6.09554855e+01;2.20808260e+03;6.17741289e+01;3.59111150e+03;1.19835742e+02;2.64568657e+03;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.38497464e+00;1.39663809e-03;-2.57013263e+01;1.15109136e+02;-8.79128491e+00;6.63836257e+02;1.06630662e+02;5.20714458e+02;3.20288641e+02;3.89630194e+03;-2.12872799e+03;2.10712995e+04;7.25802812e+03;1.33107039e+05;4.62587986e+03;4.25402864e+05;7.43172290e+03;3.13994137e+05;-1.56804996e+03;8.69392994e+04;1.13739644e+01;2.31742204e+03;1.29469227e+02;5.07745469e+03;-9.86860007e+00;2.62397801e+01;3.15507506e+01;2.55666262e+02;-4.05347381e+01;7.42595192e+02;-3.16055704e+00;3.49183759e+02;1.30972691e+02;3.32931883e+03;1.10221785e+02;9.93768076e+03;4.22523543e+02;8.09947919e+03;;;;;;;;;;;;;;;;;;;;;;;;
8;4.38448437e+00;1.36689628e-03;-3.10187364e+01;8.93274683e+01;2.40622058e+01;6.96586145e+02;1.44307451e+02;1.35429525e+03;-2.09321824e+02;1.44594509e+03;-3.81444691e+02;1.00381327e+04;3.40241432e+03;2.98889445e+04;2.97785522e+03;7.92339748e+04;-4.34025626e+02;5.38675880e+04;2.20138353e+03;5.01632864e+04;-5.22695801e+02;7.26329262e+03;-1.18523870e+01;1.70587320e+03;-1.10991822e+01;2.03743877e+01;4.46349376e+01;2.40864547e+02;-8.78579633e+01;1.16416665e+03;8.07510933e+01;3.22480171e+03;4.53688454e+01;5.71196925e+03;3.83370868e+01;6.42904847e+03;1.44998888e+02;7.09458072e+03;2.88539870e+01;5.05122845e+03;;;;;;;;;;;;;;;;;;;;;;
9;4.38460575e+00;1.36967152e-03;-3.00199914e+01;9.84901108e+01;1.55106343e+01;7.04849149e+02;1.48565999e+02;1.07079481e+03;-5.96504978e+01;3.25573411e+03;-1.09925579e+03;1.22083522e+04;5.34155325e+03;3.96805048e+04;1.13229526e+03;1.02836908e+05;-2.27641899e+02;4.83888812e+04;-6.65316851e+02;5.03268225e+04;-3.42359254e+02;6.57380000e+04;-1.98468540e+02;1.01074394e+04;-1.08670563e+01;2.24746206e+01;4.15882893e+01;2.51251653e+02;-7.31578277e+01;1.09897770e+03;4.64327304e+01;2.72080561e+03;8.33256232e+01;4.55904365e+03;7.00567302e+01;5.95232256e+03;4.64223468e+01;4.64313166e+03;3.24602019e+01;5.76238218e+03;-7.73602215e+01;4.82705510e+03;;;;;;;;;;;;;;;;;;;;
10;4.38453216e+00;1.39640244e-03;-3.10724698e+01;1.85493795e+02;2.44380294e+01;1.18906149e+03;1.39421722e+02;1.01792536e+03;-1.69804964e+02;5.96274960e+03;-5.65529894e+02;8.69160260e+03;4.03448823e+03;6.30670377e+04;1.71665956e+03;2.32023906e+05;1.05766179e+03;1.03929580e+05;1.36595992e+03;1.62897019e+05;8.38490962e+02;7.92174157e+04;-1.76905055e+02;1.74992162e+04;-1.11099471e+01;4.22969079e+01;4.47130250e+01;4.40506265e+02;-8.84117118e+01;1.67894515e+03;8.41750512e+01;3.21371881e+03;3.39257310e+01;4.38012106e+03;6.58389783e+01;9.53655406e+03;1.06580831e+02;9.92526777e+03;5.61187508e+01;1.15598692e+04;2.63403892e+01;3.54708212e+03;8.54662353e+00;1.79453738e+03;;;;;;;;;;;;;;;;;;
11;4.38464484e+00;1.39360428e-03;-3.07980829e+01;9.21441547e+01;2.10718787e+01;6.06633187e+02;1.42916282e+02;9.65290504e+02;-8.15875909e+01;3.06736106e+03;-1.05983841e+03;1.45265603e+04;5.21299515e+03;5.46912681e+04;1.66722276e+03;1.47689887e+05;-1.36965387e+03;1.99537967e+05;3.52243330e+02;1.16781228e+05;2.18746705e+03;2.34855456e+05;-1.48609395e+03;1.57397452e+05;-1.10432860e+01;2.10157479e+01;4.35292495e+01;2.21805082e+02;-8.08531860e+01;9.03588828e+02;6.01381438e+01;2.09673804e+03;7.36577261e+01;3.25681226e+03;6.60441595e+01;5.05793463e+03;5.08823037e+01;9.04618013e+03;4.27201539e+01;9.03473576e+03;-4.71355552e+01;8.62403425e+03;5.85509761e+01;8.63149204e+03;-3.62998511e+01;2.25952108e+03;;;;;;;;;;;;;;;;
