m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;h1;h1_err;h2;h2_err;h3;h3_err
2;6.22518166e+00;8.44232268e-05;3.87875307e+00;1.32350385e-02;2.93083092e+00;8.84895130e-03;4.55726390e+00;3.08903776e-02;-5.87373049e-01;2.28659796e-03;7.23623172e-01;3.22799934e-03;;
3;6.22528784e+00;8.72302811e-05;2.80134238e+00;2.11016246e-01;1.76609328e+00;2.28592200e-01;3.49834435e+00;2.11551033e-01;-7.59183169e-01;3.36507563e-02;7.30948391e-01;3.16774249e-03;-4.87219700e-02;9.56180393e-03
