m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err
2;1.50239889e+01;1.34419646e-03;3.59487795e+04;8.27958288e+06;2.83294614e+04;6.75745361e+06;-2.15537826e+04;4.79150208e+06;1.90676483e+04;4.44212416e+06;-9.46558348e+04;2.25211393e+07;3.86444599e+05;9.14010338e+07;-9.01700222e+05;2.12450868e+08;1.25879649e+06;2.95943205e+08;-1.04753965e+06;2.45948705e+08;4.80259025e+05;1.12659391e+08;-9.34772634e+04;2.19144956e+07;2.39164319e+03;5.51056239e+05;-4.06245763e+02;8.39540949e+04;;;;;;
3;1.50239900e+01;1.34412915e-03;1.25463639e+03;1.68416073e+04;1.41866229e+03;1.22457163e+04;-2.78928114e+03;3.58686874e+04;-2.80149673e+03;5.20875774e+04;2.02129631e+03;2.32617135e+04;1.59556674e+00;1.20882421e+03;-5.31262607e+03;4.64910718e+04;1.05559929e+04;9.29705717e+04;-1.01854513e+04;9.12986016e+04;5.06056064e+03;4.66595042e+04;-1.03478938e+03;9.90714020e+03;8.25371687e+01;1.12087713e+03;1.60720578e+01;1.16840822e+03;-1.71049412e+02;3.13707922e+03;;;;
4;1.50239962e+01;1.34409241e-03;1.32335876e+03;2.47683507e+04;-1.59410481e+03;8.03734698e+04;1.58607225e+03;9.05128421e+04;2.09186326e+03;2.63481611e+05;-4.65909973e+03;2.15086875e+05;8.54606617e+02;1.70518074e+05;-1.12589050e+03;3.13772356e+05;3.66574541e+03;4.34062741e+05;-4.48845930e+03;4.30856600e+05;2.50955118e+03;2.52649284e+05;-5.46997769e+02;6.23143769e+04;8.71119505e+01;1.64846547e+03;-1.88878383e+02;4.21581242e+03;3.19143114e+02;2.94140141e+03;-2.33028883e+02;1.62132602e+04;;
5;1.50240015e+01;1.34220702e-03;3.04836966e+03;2.61489072e+04;-1.30118688e+04;2.50615371e+05;9.81543593e+03;3.88666117e+05;1.60271407e+04;3.51957420e+05;-2.00605101e+04;5.62195894e+05;7.03236928e+03;4.42628627e+05;7.69539761e+03;2.61815332e+05;-8.87752616e+03;2.85733020e+05;3.18712729e+03;1.49839966e+05;3.05112348e+02;3.77214624e+04;-3.48403143e+02;8.99496314e+03;2.01922721e+02;1.74035213e+03;-1.05882196e+03;1.83425677e+04;1.74781572e+03;4.39243995e+04;-1.03819702e+03;3.43791813e+04;3.38326505e+02;1.58393576e+04
