n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;8;-527.37046595;-511.59660670;18.54124387;0.00295158
3;8;-524.76176752;-507.55392107;19.48888390;0.00298235
4;7;-530.17989193;-512.97204547;21.45798652;0.00322625
5;6;-521.02547452;-503.81762807;24.18535437;0.00368934
6;3;-525.45742527;-511.11755323;22.43821887;0.00366203
7;4;-521.09776745;-503.88992100;24.69466880;0.00372404
8;3;-520.34967143;-503.14182497;20.57176037;0.00330963
9;2;-523.71292348;-506.50507702;19.60581670;0.00301284
