n;m;aic;bic;reduced_chi_squared;sum_of_absolute_residuals
2;8;-545.67764335;-529.55454842;17.71074513;0.00300503
3;8;-543.26474191;-525.67591108;18.52591257;0.00301033
4;5;-543.66583297;-529.00847395;20.91927994;0.00377221
5;4;-542.82788228;-528.17052325;20.78225251;0.00385738
6;5;-541.17443095;-523.58560012;21.87845240;0.00358187
7;2;-544.64715718;-529.98979815;20.32694373;0.00369050
8;3;-540.66655078;-523.07771994;22.35591483;0.00366334
9;2;-540.98047191;-523.39164107;18.73622448;0.00315581
