n;m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;2;5;0.999971;10475010.619507;402885.023827;-207.514922;-200.344986;4.981973;123.507129;0.611320;0.651927;7.012353;0.030011
2;3;6;0.999997;819980.920164;32799.236807;-276.963678;-268.359755;4.981973;43.818535;0.175987;0.760867;6.764914;0.033964
2;4;7;0.999999;145153.423580;6048.059316;-327.781487;-317.743576;4.981973;19.505647;0.070146;0.860772;6.709082;0.034925
2;5;8;1.000000;43913.265378;1909.272408;-360.966711;-349.494813;4.981973;11.578065;0.035915;0.906244;6.584628;0.037168
2;6;9;1.000000;17234.755033;783.397956;-382.918661;-370.012777;4.981973;8.094310;0.022923;0.905210;6.413265;0.040493
2;7;10;1.000000;73722.056178;3510.574104;-358.585241;-344.245369;4.981973;7.036878;0.054553;1.271968;4.811074;0.090217
2;8;11;1.000000;370.824877;18.541244;-527.370466;-511.596607;4.981973;0.399721;0.002952;2.190508;0.540972;0.763009
2;9;12;1.000000;370.228119;19.485690;-524.775716;-507.567870;4.981973;0.411056;0.002981;2.182027;0.458080;0.795297
3;2;6;0.999999;358373.703954;14334.948158;-305.165182;-296.561259;3.736595;26.808631;0.116510;0.735275;9.837178;0.020002
3;3;7;1.000000;3956.049765;164.835407;-446.813035;-436.775125;3.736595;1.853139;0.013402;1.133858;13.190490;0.004242
3;4;8;1.000000;2021.707145;87.900311;-470.264683;-458.792785;3.736595;0.905583;0.009263;1.302727;9.779962;0.020532
3;5;9;1.000000;551.205212;25.054782;-514.978431;-502.072546;3.736595;0.551523;0.004256;2.047809;4.007984;0.260603
3;6;10;1.000000;439.498742;20.928512;-524.866971;-510.527099;3.736595;0.423107;0.003685;2.234343;1.221240;0.747915
3;7;11;1.000000;415.578792;20.778940;-519.534859;-503.761000;3.736595;0.481813;0.003663;2.094077;1.131959;0.769365
3;8;12;1.000000;370.288794;19.488884;-524.761768;-507.553921;3.736595;0.411262;0.002982;2.181303;1.573903;0.665322
4;2;7;1.000000;2588.719963;107.863332;-471.008944;-460.971033;4.415122;1.102716;0.009597;1.203606;13.525182;0.008975
4;3;8;1.000000;2097.741873;91.206168;-468.587620;-457.115722;4.415122;0.923966;0.009465;1.295559;10.629890;0.031054
4;4;9;1.000000;867.716491;39.441659;-509.029045;-496.123160;4.415122;0.472478;0.004810;1.721596;6.643164;0.155990
4;5;10;1.000000;459.577610;21.884648;-524.950816;-510.610944;4.415122;0.416510;0.003705;2.285264;4.878581;0.299984
4;6;11;1.000000;394.248303;19.712415;-521.412811;-505.638951;4.415122;0.475571;0.003357;2.039341;4.598325;0.331047
4;7;12;1.000000;407.701744;21.457987;-530.179892;-512.972045;4.415122;0.311727;0.003226;2.585342;11.733064;0.019451
5;2;8;1.000000;2062.747732;89.684684;-468.596318;-457.124421;9.085402;0.935413;0.009385;1.298631;11.203391;0.047493
5;3;9;1.000000;2562.498488;116.477204;-468.902659;-455.996774;9.085402;1.157523;0.009074;1.167992;19.020632;0.001905
5;4;10;1.000000;454.661422;21.650544;-524.166461;-509.826589;9.085402;0.430960;0.003747;2.255544;5.762043;0.330066
5;5;11;1.000000;450.955073;22.547754;-520.322759;-504.548900;9.085402;0.459478;0.003825;2.195244;5.415734;0.367274
5;6;12;1.000000;459.521733;24.185354;-521.025475;-503.817628;9.085402;0.416103;0.003689;2.286847;6.051511;0.301239
6;2;9;1.000000;588.455685;26.747986;-513.384190;-500.478305;5.747846;0.559449;0.004375;2.026014;7.472489;0.279350
6;3;10;1.000000;471.202596;22.438219;-525.457425;-511.117553;5.747846;0.402003;0.003662;2.319743;6.581239;0.361314
6;4;11;1.000000;447.488638;22.374432;-518.870322;-503.096463;5.747846;0.481192;0.003868;2.149230;5.577115;0.472186
6;5;12;1.000000;453.431312;23.864806;-520.646920;-503.439073;5.747846;0.427850;0.003668;2.265865;6.000613;0.423121
7;2;10;1.000000;168134.570585;8006.408123;-335.341215;-321.001343;6.699758;8.665974;0.080563;1.413470;19.792391;0.006036
7;3;11;1.000000;585.156255;29.257813;-509.901670;-494.127811;6.699758;0.552428;0.004352;2.042864;7.473172;0.381328
7;4;12;1.000000;469.198707;24.694669;-521.097767;-503.889921;6.699758;0.406949;0.003724;2.303456;6.971054;0.431900
8;2;11;1.000000;414.559426;20.727971;-519.998015;-504.224156;9.854289;0.476088;0.003641;2.104625;7.932427;0.440099
8;3;12;1.000000;390.863447;20.571760;-520.349671;-503.141825;9.854289;0.464588;0.003310;2.058400;8.686340;0.369443
9;2;12;1.000000;372.510517;19.605817;-523.712923;-506.505077;5.672879;0.425975;0.003013;2.161613;10.648748;0.300556
