m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;h1;h1_err;h2;h2_err;h3;h3_err
2;1.50239930e+01;1.34419050e-03;2.44955005e+03;1.01175705e+05;3.53880717e+03;2.72468127e+05;1.74501783e+02;1.92063137e+05;-9.72410397e+01;7.85220158e+04;-1.91295864e+03;2.36020336e+05;9.05208171e+03;9.74535468e+05;-1.60163772e+04;2.39663570e+06;9.76222278e+03;4.31581649e+06;4.88302358e+03;6.01136444e+06;-5.04646859e+03;6.41929471e+06;-7.16851638e+03;4.97632169e+06;9.54307628e+03;2.37931530e+06;-3.04402267e+03;5.01816544e+05;1.62066799e+02;6.73384035e+03;8.08936474e+01;1.43993479e+04;;
3;1.50242424e+01;1.26841797e-03;1.01022062e+01;6.05931971e+02;-2.08922304e+02;3.08781275e+03;1.19633752e+02;1.32533337e+03;3.28260521e+02;6.29530121e+03;-1.28024534e+01;2.46877362e+03;-2.20600286e+02;5.08738282e+03;1.80501692e+02;1.06620532e+04;1.71233137e+02;1.44531451e+04;-3.25661048e+02;1.03005033e+04;-1.68251221e+01;1.91733194e+03;3.51274446e+02;8.05767438e+03;-2.72934577e+02;5.65850171e+03;6.80820674e+01;1.34789684e+03;-2.88284271e-01;4.03250234e+01;-1.31631137e+01;2.44021117e+02;1.98650809e+01;3.37090806e+02
