m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;5;0.9999999495805496;14.611567733378402;0.3746555829071385;-633.1657923003345;-624.2448441307432;2.724263217281658;1.6608037629950445;0.02402601739874477;0.5774657784213728;9.142330357790696;0.010345897870021633
3;6;0.999999984140415;4.727313856570134;0.12440299622552983;-682.0563230777984;-671.3511852742888;2.724263217281658;1.200171243841197;0.012032053584588809;1.6243975927537861;3.6549928754182646;0.16081567627620952
4;7;0.9999999870891316;4.066495473392786;0.10990528306466989;-689.1073247055172;-676.6179972680893;2.724263217281658;1.108687388693852;0.0098889432959961;1.8883563296150978;4.6234691880627725;0.09908922282828127
5;8;0.9999999873382948;3.9883742049293343;0.11078817235914817;-687.96476870442;-673.6912516330739;2.724263217281658;1.0698792158798653;0.010047840745315284;1.9167706116979368;4.537277506433959;0.10345290921769519
6;9;0.9999999878186315;3.9963403877346404;0.11418115393527543;-687.6664466215008;-671.6087399162365;2.724263217281658;1.0653087537590977;0.009566219090933359;1.8419763459535512;3.2293433014636608;0.1989559867696022
7;10;0.9999999872816455;4.113285399133488;0.12097898232745553;-683.7683491898138;-665.9264528506311;2.724263217281658;1.0921751447661165;0.009883670192758487;1.8619818009886695;4.284910423862767;0.11736632977292395
8;11;0.9999999880676363;3.7155772063269263;0.11259324867657353;-684.5751901086297;-664.9491041355288;2.724263217281658;0.9064096709856528;0.01061257728932219;1.936292696736419;3.6303942646298104;0.16280581094018792
9;12;0.9999999891490517;3.3378586757956334;0.10430808361861355;-686.7552726257469;-665.3449970187278;2.724263217281658;0.9677903777678409;0.0090638754868273;2.0218735352910966;4.789263691401144;0.09120625071575436
10;13;0.9999999892149236;3.306646930889109;0.10666603002868094;-685.023193129605;-661.8287278886677;2.724263217281658;0.9624746878564849;0.009083360582406996;2.045776319766826;4.696971235341929;0.09551369700238492
11;14;0.999999989143002;3.275909354665123;0.10919697848883743;-682.7307481998724;-657.7520933250167;2.724263217281658;0.9394580185642099;0.009144162452518145;2.0453446066623493;4.6909791093301845;0.0958002911692365
12;15;0.9999999890998255;3.270202122219017;0.11276559042134542;-680.5561139587069;-653.793269449933;2.724263217281658;0.9352326241511832;0.009111879423748803;2.04127957480288;4.644270313850804;0.0980639799276113
13;16;0.9999999894086615;3.205256759149637;0.1144734556839156;-679.8207733857907;-651.2737392430986;2.724263217281658;0.9422007918438169;0.008708895672508987;2.0556003435137544;5.323277747756126;0.06983367931715478
14;17;0.9999999894304581;3.186470741504363;0.11801743487053197;-677.9114171679572;-647.5801933913467;2.724263217281658;0.9365367105154121;0.008622019153369465;2.0580934351758;5.3706430541871955;0.06819926256005517
