m;p0;p0_err;p1;p1_err;p2;p2_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err
2;1.50226634e+01;6.65366693e-04;1.93749315e+01;6.99752101e-01;-4.17063747e+00;8.61025644e-01;3.25521444e-01;4.59816330e-02;-1.23138114e-01;1.61294265e-02;;;;;;;;;;;;;;;;;;;;;;;;
3;1.50247112e+01;1.13534007e-03;1.18667843e+02;7.76808793e+01;1.48911788e+02;1.19081994e+02;6.94141585e+00;5.17413771e+00;3.63037172e+00;2.90360917e+00;-3.29922663e-01;2.50489518e-01;;;;;;;;;;;;;;;;;;;;;;
4;1.50245882e+01;1.09003243e-03;6.24097649e+01;6.99695740e+01;6.52636730e+01;1.06584735e+02;3.19582698e+00;4.66021789e+00;1.68070753e+00;2.57608724e+00;-2.25639962e-01;2.11203871e-01;2.56614918e-02;2.00095203e-02;;;;;;;;;;;;;;;;;;;;
5;1.50245676e+01;1.09764225e-03;3.75984639e+01;1.10732370e+02;3.10293998e+01;1.60134900e+02;1.54419350e+00;7.37311753e+00;9.91952268e-01;3.55107522e+00;-3.07012963e-01;2.80634830e-01;1.28138289e-01;3.11570645e-01;-2.95788113e-02;8.91835235e-02;;;;;;;;;;;;;;;;;;
6;1.50239891e+01;1.34419953e-03;4.08511829e+05;1.31483930e+08;4.39312091e+05;1.41428520e+08;2.71884409e+04;8.75120198e+06;3.17653435e+03;1.02404602e+06;8.27726905e+03;2.66287055e+06;-8.48414239e+03;2.72936733e+06;4.71227390e+03;1.51576854e+06;-1.14454773e+03;3.68109663e+05;;;;;;;;;;;;;;;;
7;1.50243499e+01;1.01612873e-03;1.63995595e+00;2.56690862e+00;-1.89746138e+01;4.46006694e+01;-8.50143065e-01;1.68277255e-01;-2.46220233e-02;3.08531920e+00;-4.32226239e-01;2.75112363e+00;3.04421474e-01;2.98668196e+00;-8.66539893e-02;2.38554541e+00;-1.34748550e-02;1.14896199e+00;1.07949481e-02;2.45291985e-01;;;;;;;;;;;;;;
8;1.50240065e+01;1.30031721e-03;7.39385475e+02;1.51678744e+03;-8.21554756e+02;3.31805910e+04;4.82467043e+01;1.00940533e+02;-1.00316498e+02;2.30241006e+03;1.13883616e+02;2.23457270e+03;-1.41695121e+02;2.98730719e+03;1.39973424e+02;3.38991296e+03;-9.61554074e+01;2.75354828e+03;3.97137004e+01;1.35592285e+03;-7.32150487e+00;2.96809606e+02;;;;;;;;;;;;
9;1.50239903e+01;1.34411513e-03;1.10987945e+03;1.34979259e+04;1.58725783e+03;2.80431391e+04;7.29029412e+01;8.98338549e+02;3.65105505e+01;2.31355525e+03;-8.80965845e+00;2.45968818e+03;4.00942232e+01;3.23445518e+03;-1.16248712e+02;3.68075856e+03;1.91790868e+02;3.31182345e+03;-1.84734102e+02;2.17458675e+03;9.64393716e+01;9.04490334e+02;-2.10554263e+01;1.73577921e+02;;;;;;;;;;
10;1.50239954e+01;1.34356839e-03;6.69874649e+02;5.94695412e+03;-4.10569179e+02;8.39887317e+03;4.36189149e+01;3.95787048e+02;-6.84504940e+01;8.98035494e+02;8.01758448e+01;1.00097848e+03;-8.70914159e+01;1.25706336e+03;4.19392513e+01;1.26427768e+03;6.58211879e+01;9.87727188e+02;-1.61541893e+02;8.87032664e+02;1.56013120e+02;7.68526213e+02;-7.56343576e+01;3.79093306e+02;1.50627266e+01;7.74069820e+01;;;;;;;;
11;1.50239975e+01;1.34414099e-03;1.37440808e+03;3.25665346e+04;7.70391326e+01;4.31362978e+04;9.05100449e+01;2.16749012e+03;-8.09478050e+01;2.08320354e+03;1.12648302e+02;2.21117611e+03;-1.42544392e+02;2.96001163e+03;2.01548261e+02;6.04112717e+03;-4.31787252e+02;2.07855968e+04;9.13220266e+02;4.76777048e+04;-1.30661865e+03;6.63984707e+04;1.12943501e+03;5.52765083e+04;-5.34934337e+02;2.53698617e+04;1.06807139e+02;4.94409918e+03;;;;;;
