m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err
2;1.50243813e+01;1.01402423e-03;-5.94946297e+01;1.43389859e+02;1.08701969e+02;2.66592078e+02;2.13607488e+02;4.02908321e+02;-9.60892000e+01;1.87602301e+02;3.87356100e+01;8.03316687e+01;-7.56162225e+00;1.67977638e+01;-4.91944949e+00;9.54591558e+00;1.23896153e+01;2.41896162e+01;;;;;;;;;;;;;;;;
3;1.50243608e+01;1.04157012e-03;-5.97012775e+01;1.29503668e+02;7.26007298e+01;2.84395573e+02;1.64486491e+02;5.20730213e+02;-9.30701152e+01;1.42362160e+02;3.58857378e+01;6.56162519e+01;-6.99638417e+00;1.34235371e+01;-4.93324370e+00;8.62214581e+00;9.99931854e+00;2.60755071e+01;-9.65061871e-01;7.33949092e+00;;;;;;;;;;;;;;
4;1.50239868e+01;1.34351901e-03;3.57577986e+02;3.54035609e+03;4.98648658e+03;2.66490960e+04;2.23758554e+03;1.07319360e+04;-7.77967306e+03;3.99713484e+04;-6.53537021e+02;4.00442890e+03;-4.97416410e+01;2.34671385e+02;2.28327498e+01;2.35614620e+02;3.10727075e+02;1.57126703e+03;-1.43713905e+02;7.31760448e+02;-2.26102062e+02;1.19785074e+03;;;;;;;;;;;;
5;1.50239147e+01;1.33362490e-03;3.06877845e+02;2.50160485e+03;1.68289668e+03;1.43199610e+04;-9.43336950e+03;2.50114031e+04;-3.45051165e+03;1.05618583e+05;2.66419552e+04;2.04731228e+05;3.29786105e+03;2.32483331e+04;1.94582773e+01;1.66484429e+02;9.40689877e+01;8.05542178e+02;-7.14208723e+02;9.67396912e+02;5.23096929e+02;7.61597620e+03;8.34824891e+02;5.91418172e+03;;;;;;;;;;
6;1.50239901e+01;1.34213739e-03;2.02656931e+01;2.55730075e+03;5.15669561e+03;2.79445855e+04;2.95587458e+03;1.28842767e+05;-7.22558157e+03;5.06830134e+04;-1.77656248e+03;2.09276736e+05;-1.52676820e+03;2.54978018e+04;3.83165530e-01;1.70196225e+02;3.43529507e+02;1.89031493e+03;-1.36082486e+02;7.32452302e+03;-1.84945186e+02;4.04433716e+03;-9.67640348e+01;6.53099166e+03;-2.18395692e+01;1.71135325e+02;;;;;;;;
7;1.50240036e+01;1.34410369e-03;1.18459843e+03;2.04234850e+04;-1.39202825e+02;3.60174418e+04;-6.65774612e+03;1.30123990e+05;-1.42475094e+04;3.48775305e+05;1.98197878e+04;2.99979333e+05;3.78520909e+04;1.03554273e+06;7.78766761e+01;1.35928441e+03;-8.31833710e+01;3.56978315e+03;-3.35323459e+02;1.12644580e+04;-6.39453845e+02;3.42268729e+04;1.68591137e+03;2.67710493e+04;8.60235135e+02;2.60944045e+04;-6.22953942e+01;1.95796121e+03;;;;;;
8;1.50239907e+01;1.34415197e-03;1.08257567e+03;2.09094671e+04;2.96952910e+02;5.39436873e+04;-7.07922589e+02;3.22081757e+05;2.41522735e+03;2.10433185e+05;4.08040187e+03;7.05920491e+05;-1.57376531e+04;5.49668042e+05;7.10852958e+01;1.39162051e+03;-4.75870843e+01;4.75992704e+03;2.27927703e+01;2.52104585e+04;1.48923744e+02;3.49742119e+04;-6.12605209e+00;4.40759364e+03;-6.48943779e+02;1.51525525e+04;1.40590070e+02;2.13576715e+03;-2.20702587e+01;4.16459476e+02;;;;
9;1.50242728e+01;1.29059311e-03;1.06526134e+02;8.47525772e+03;-4.05092492e+02;6.33337347e+03;-3.77721475e+02;2.63557346e+04;6.07491632e+02;1.00560642e+05;1.31661037e+03;1.36474427e+05;6.56634532e+02;1.06327996e+05;6.12991231e+00;5.64098960e+02;-3.23891153e+01;1.51836113e+02;8.07599463e+00;1.51334111e+03;2.02282707e+01;6.97039979e+03;6.72355966e+01;2.20668956e+03;7.25602621e+00;4.51261059e+03;-3.83676372e+00;1.36925376e+03;3.84180650e+00;4.83015847e+02;-1.18507054e+00;8.99569332e+01;;
10;1.50240680e+01;1.34399324e-03;8.87508095e+02;2.04431482e+04;-1.21584685e+03;1.31452026e+05;-5.88140774e+03;2.03946380e+05;-4.14705359e+02;6.88233645e+04;1.68280498e+04;3.50221989e+05;1.00365776e+04;1.00568227e+06;5.81068271e+01;1.36062213e+03;-1.36060166e+02;9.38057212e+03;-2.38829733e+02;2.19809322e+04;1.53660777e+02;2.81380402e+04;8.15718702e+02;5.59624278e+04;1.45835436e+02;1.37730803e+04;2.37874842e+01;1.98178126e+04;-3.03355147e+01;1.35002593e+04;1.71961755e+01;5.31808173e+03;-4.32624488e+00;9.64191336e+02
