m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err
2;4.67216720e+00;8.43300003e-04;-2.36454202e+06;2.74513214e+09;-2.03802802e+06;2.36501722e+09;1.31164878e+05;1.53413553e+08;-1.12900276e+06;1.31040393e+09;1.28294039e+06;1.48958306e+09;-3.86278780e+05;4.48579309e+08;-5.07495617e+05;5.89179753e+08;9.77832525e+04;1.13751382e+08;;;;
3;4.67216709e+00;8.43299992e-04;-2.07052993e+03;7.03911231e+05;-3.48380103e+03;1.19341096e+06;5.12537329e+03;1.75899533e+06;3.12793225e+03;1.07559268e+06;5.74655231e+03;1.97245459e+06;-1.66994961e+03;5.73041475e+05;-4.46133087e+02;1.51332462e+05;-2.62549415e+02;9.13216107e+04;1.32449668e+03;4.55222840e+05;;
4;4.67216800e+00;8.43299207e-04;-8.45185133e+02;2.97013668e+04;1.87215908e+03;6.76946577e+04;-4.68163555e+02;1.81526478e+04;-7.80010291e+02;2.85957989e+04;-2.61688803e+02;9.24957628e+03;3.97010318e+02;1.46127077e+04;-1.81658260e+02;6.34809739e+03;5.80580171e+02;2.07838776e+04;-6.04464325e+02;2.19872410e+04;1.97154801e+02;7.24306372e+03
