m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err
2;6.22508464e+00;7.67439693e-05;1.09456338e+01;7.00000378e-03;2.37718480e+01;2.96738678e-02;8.26411571e+01;9.04231754e-02;-1.35496411e+01;2.39603659e-02;-1.10351335e+00;1.41530500e-03;4.58463895e+00;2.93673548e-03;;;;;;;;;;
3;6.22441593e+00;8.33135837e-05;1.17270348e+01;4.09553494e-02;2.57083798e+01;1.04784628e-01;9.11161295e+01;4.37332708e-01;-9.69338768e+00;1.99965585e-01;-9.83403896e-01;6.38558752e-03;4.63425718e+00;3.90976160e-03;4.43018845e-01;2.26099903e-02;;;;;;;;
4;6.22536899e+00;8.86546680e-05;5.80451401e+01;4.07917448e+00;1.24598870e+02;8.77537314e+00;2.86889446e+02;1.81321897e+01;9.46475166e+02;8.14056035e+01;6.48425306e+00;6.56842815e-01;-1.54272380e+00;5.16100953e-01;3.81317372e+01;3.26795057e+00;1.38454404e+01;1.16655752e+00;;;;;;
5;6.22530980e+00;8.72808644e-05;9.22089501e+00;5.89873260e-01;2.50823988e+01;1.35137832e+00;7.74900881e+01;2.63797032e+00;8.99972367e+01;1.45827574e+01;-1.36999442e+00;9.51981691e-02;5.27556180e+00;7.01807556e-02;4.79925251e-01;5.05064708e-01;3.68865001e+00;2.66710912e-01;-6.03154914e-01;2.05180003e-02;;;;
6;6.22524643e+00;8.54744196e-05;-1.15506041e+00;1.48842584e-01;1.12334980e+01;1.93504177e-01;4.39124622e+01;5.51854673e-01;-5.68511511e+01;2.76455482e+00;-3.03917672e+00;2.36333920e-02;7.88362134e+00;5.45251921e-02;-8.77304757e+00;1.09227494e-01;5.43163960e+00;1.69666651e-01;-2.96516700e+00;7.03862439e-02;5.99163248e-01;1.49809273e-02;;
7;6.22531020e+00;8.69291217e-05;-5.61981208e+01;1.30842367e+00;-6.04388702e+00;3.64790961e+00;-1.00214005e+02;3.91633049e+00;-5.31622502e+02;1.91479209e+01;-1.18798338e+01;2.10375926e-01;3.02940197e+01;8.30234916e-01;-7.23053985e+01;2.12925718e+00;5.80821322e+01;3.39097705e+00;-5.13623675e+01;3.18407430e+00;2.22153743e+01;1.68974653e+00;-4.05528769e+00;3.80992720e-01
