m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;p10;p10_err;p11;p11_err;p12;p12_err;p13;p13_err;h1;h1_err;h2;h2_err;h3;h3_err
2;1.50239925e+01;1.34417842e-03;1.53989222e+03;3.77133558e+04;1.42987382e+03;4.40129646e+04;-6.05925033e+02;3.30607629e+04;-3.56573716e+01;1.82814919e+04;1.78778339e+02;8.72709907e+04;1.63964574e+03;3.89124346e+05;-4.15913734e+03;1.08020512e+06;2.36746545e+03;2.10036072e+06;2.73233389e+03;2.98147451e+06;-2.53664279e+03;2.99268181e+06;-2.50659049e+03;1.98202449e+06;3.68503074e+03;7.72973063e+05;-1.20245900e+03;1.34423167e+05;1.01523243e+02;2.51002917e+03;-1.41649599e+00;1.91833108e+03;;
3;1.50242514e+01;1.25303943e-03;1.02258109e+01;5.43587848e+02;-2.09253506e+02;2.91812943e+03;1.19341397e+02;1.37333168e+03;3.30299725e+02;6.05285547e+03;-1.67907283e+01;2.39862182e+03;-2.16788902e+02;4.31226816e+03;1.85948895e+02;8.85184902e+03;1.53693912e+02;1.21533171e+04;-3.18393651e+02;9.39597395e+03;1.10538468e+01;1.33082430e+03;3.04278487e+02;5.22255641e+03;-2.43051631e+02;3.96283378e+03;6.09844510e+01;9.64196483e+02;-2.79992426e-01;3.61766082e+01;-1.31947424e+01;2.28788041e+02;1.98966176e+01;3.24499148e+02
