m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err
2;4.67216722e+00;8.43299996e-04;-2.01815072e+05;3.31892873e+08;-1.08110406e+05;1.77791263e+08;-5.41769619e+03;8.91253933e+06;4.91400571e+04;8.08117269e+07;-4.30412496e+04;7.07813681e+07;1.88232693e+04;3.09545807e+07;;;;;;;;
3;4.67216723e+00;8.43299997e-04;-5.71827531e+05;4.62444063e+08;-1.81204402e+05;1.46862887e+08;3.79969098e+05;3.06752073e+08;1.16622277e+06;9.42633475e+08;-1.20598298e+05;9.75285475e+07;6.38026580e+04;5.15300734e+07;1.28936354e+05;1.04216362e+08;;;;;;
4;4.67220169e+00;8.32792961e-04;-1.01257245e+01;7.00942853e-01;2.60514674e+00;5.18192736e-01;4.37595168e+00;4.28628134e-01;-9.84795238e-01;4.10144362e-01;-3.17898888e+00;1.49645613e-01;3.42380199e+00;2.56280811e-01;-1.46886922e+00;1.17669946e-01;2.73434586e-01;2.76896234e-02;;;;
5;4.67217602e+00;8.43282096e-04;-2.42592559e+02;2.36819343e+03;5.06575323e+02;5.52136310e+03;-1.12348652e+02;1.57266981e+03;-1.95343929e+02;2.24760037e+03;-5.28830006e+01;5.06337914e+02;1.60949761e+02;1.68748390e+03;-1.65620740e+02;1.83690749e+03;6.64310596e+01;7.50519493e+02;-1.34284174e+01;1.55440424e+02;;
6;4.67216747e+00;8.43292322e-04;-3.27690861e+02;9.04813712e+03;6.15821766e+02;1.84330033e+04;-1.43400443e+01;1.23485248e+03;-3.25858136e+02;1.00064032e+04;-7.11354216e+01;1.93620351e+03;2.03301201e+02;5.90029175e+03;-1.83520312e+02;5.54061851e+03;4.84056718e+01;1.49453794e+03;1.72310009e+00;4.85265815e+01;-4.08591652e+00;1.25114972e+02
