m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err;h22;h22_err;h23;h23_err;h24;h24_err;h25;h25_err
2;4.66984431e+00;8.07348107e-04;9.39895923e+00;5.15327914e-02;1.09514989e+01;3.34796760e-01;1.32257373e+02;3.36679663e+00;-2.33966628e+01;2.37987376e+00;-3.62541476e-01;7.94983613e-01;-1.94115407e+00;1.25113872e-02;6.25317633e+00;6.96967246e-02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.66928501e+00;7.87502503e-04;4.90459760e+00;2.01548112e-01;1.64891034e+00;4.74933463e-01;1.27034436e+02;2.41082277e+00;-1.56554892e+02;4.84827387e+00;2.45018477e+01;8.22584641e-01;-2.91287512e+00;4.23882333e-02;8.24331808e+00;7.32823078e-02;-6.08364610e+00;2.55076755e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.67231903e+00;8.38745833e-04;5.88272647e+00;2.48155474e+00;1.67873696e+01;6.88549040e+00;7.21287810e+01;6.14409425e+00;2.48579980e+02;1.29038156e+02;1.32415875e+02;1.74599311e+01;-2.60981898e+00;5.38376673e-01;8.24717073e+00;9.16819254e-01;-2.58949664e+00;3.62413814e+00;1.50649123e+01;2.93218457e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.67211291e+00;8.40012559e-04;-1.52964051e+01;5.69016437e+00;1.89589323e+01;1.10012784e+01;1.81113083e+02;4.81231013e+01;-5.40058211e+02;2.14222761e+02;2.46746861e+03;9.48476322e+02;-7.18065059e+00;1.22863695e+00;2.78806643e+01;6.64122751e+00;-5.18890000e+01;1.54881881e+01;8.01352431e+01;2.80688541e+01;3.42644054e+01;1.40843630e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.67210602e+00;8.42012166e-04;-1.34324024e+01;7.10522582e+00;2.35869533e+01;2.78018554e+01;2.01066950e+02;1.25276524e+02;-5.57363336e+02;3.14655773e+02;2.86927393e+03;2.50883711e+03;-6.78462444e+00;1.52327673e+00;2.74609392e+01;8.17817834e+00;-4.99932432e+01;1.77540848e+01;8.43962575e+01;4.93801111e+01;4.61434181e+01;5.85503070e+01;-1.66502632e+00;6.37666837e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.67182398e+00;8.29128550e-04;-3.79435223e+01;2.02633219e+00;6.01489999e+01;8.18263416e+00;1.40999452e+02;1.70708516e+01;-7.11705037e+02;7.20323571e+01;2.02789205e+03;3.02856067e+02;-1.20252375e+01;4.35021822e-01;5.52358087e+01;3.41318660e+00;-1.37017232e+02;1.03829040e+01;2.13483748e+02;2.02461660e+01;-1.29937520e+02;2.07844978e+01;8.95126926e+01;1.25354783e+01;-2.12179291e+01;3.19562176e+00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.67207628e+00;8.30173456e-04;-4.47648907e+01;3.06050834e+00;1.13507045e+02;2.02579179e+01;2.44087974e+01;3.77938139e+01;-6.06180648e+02;6.09984095e+01;1.71636199e+03;2.23586399e+02;-1.34701859e+01;6.51535445e-01;7.17497256e+01;6.70028301e+00;-2.11649219e+02;2.80963390e+01;3.98651047e+02;6.82910274e+01;-4.32968092e+02;1.04382630e+02;3.69891098e+02;9.74299661e+01;-1.67789771e+02;5.07397933e+01;3.26404606e+01;1.12705732e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.67202068e+00;8.30399619e-04;-4.28887681e+01;3.03247959e+00;9.51230111e+01;2.19900484e+01;8.08783583e+01;5.44688813e+01;-6.71171047e+02;8.15079842e+01;1.77798208e+03;2.34876025e+02;-1.30719540e+01;6.45329314e-01;6.63877569e+01;7.00432818e+00;-1.82523672e+02;3.22835550e+01;3.10863472e+02;8.80660134e+01;-2.61924593e+02;1.59813675e+02;1.57275031e+02;1.91135171e+02;-1.47048779e+00;1.48767123e+02;-4.12285967e+01;6.80468495e+01;1.42037977e+01;1.38691709e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;4.67203951e+00;8.35787439e-04;-4.30325169e+01;5.69169777e+00;9.52025422e+01;4.09360354e+01;9.15714140e+01;7.56367937e+01;-7.15930317e+02;6.20311991e+01;1.81003235e+03;2.71879356e+02;-1.31018974e+01;1.21197653e+00;6.64958677e+01;1.32046198e+01;-1.80207434e+02;5.74816136e+01;2.90460585e+02;1.34323793e+02;-1.88588655e+02;1.70900934e+02;-2.29697648e+00;1.28251263e+02;2.17809788e+02;2.48675920e+02;-2.25683105e+02;3.12041926e+02;1.01111459e+02;1.81651183e+02;-1.75719172e+01;4.16704378e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4.67205638e+00;8.39153926e-04;-4.28387337e+01;1.14296431e+01;9.02865238e+01;1.05443105e+02;1.21626574e+02;3.50533800e+02;-7.64361934e+02;4.84698238e+02;1.78001221e+03;2.91154903e+02;-1.30601514e+01;2.43534662e+00;6.52827196e+01;3.15351154e+01;-1.69468620e+02;1.77162663e+02;2.47572462e+02;5.76632733e+02;-1.01325851e+02;1.18010254e+03;-8.62713576e+01;1.57416909e+03;1.69251486e+02;1.24471349e+03;8.18652739e+00;6.45405825e+02;-1.75099345e+02;6.48417767e+02;1.34773617e+02;4.05693561e+02;-3.35272749e+01;9.44336871e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;
