m;num_parameters;r_squared;chi_squared;reduced_chi_squared;aic;bic;max_abs_stud_resid;max_abs_residual_mK;sum_of_absolute_residuals;durbin_watson;bp_lm_stat;bp_p_value
2;23;0.9999999857870844;21.011121424464203;0.318350324613094;-1250.0412101503762;-1192.802573646537;135.96072168947322;4.702794075253536;0.03411264733415731;1.4898606640996976;13.90065270001533;0.8354971233023717
3;24;0.9999999857985516;21.202426765848163;0.32619118101304867;-1248.1130460129687;-1188.3857731393973;135.96072168947322;4.734012652015451;0.03347681378245504;1.5053306549641154;13.513239397136726;0.854294137528518
4;25;0.9999999882621804;16.563122190025005;0.2587987842191407;-1263.070027280105;-1200.8541180368015;135.96072168947322;4.316809723901471;0.03063487184882785;1.7183846217513439;13.426785986206035;0.8583310767527854
5;26;0.9999999869539073;18.060064070765762;0.2866676836629486;-1251.6651660081532;-1186.9606203951175;135.96072168947322;4.567957413708967;0.02884033337406411;1.5144120389377034;15.012428097571409;0.7756960328520937
6;27;0.9999999864763178;18.997846604105582;0.30641688071138035;-1246.4652854659323;-1179.2721034831645;135.96072168947322;4.623337667466032;0.030764559697313842;1.506529160785834;14.3746255612323;0.8110050239424854
7;28;0.999999986937534;17.99272883776605;0.29496276783223035;-1247.553537140343;-1177.871718787843;135.96072168947322;4.607769740555767;0.028735010796424376;1.53377435999006;14.808667370949966;0.7872489914525007
8;29;0.9999999884803394;16.00470921909553;0.2667451536515922;-1256.739745948647;-1184.5692912264149;135.96072168947322;4.293382102826371;0.0308032997541412;1.7531765730381357;13.389489566952777;0.8600544513122241
9;30;0.9999999868336819;18.042491830285506;0.3058049462760255;-1242.8487476717155;-1168.1896565797513;135.96072168947322;4.663064482688384;0.02978686660708707;1.5733069493933967;14.653690874458153;0.7958687056250475
10;31;0.9999999866226348;18.208092157715033;0.3139326234088799;-1239.4334514832074;-1162.285724021511;135.96072168947322;4.731926034246214;0.03011018905721219;1.591881161159708;14.265920742798194;0.8167611972882352
