m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;p8;p8_err;p9;p9_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err;h12;h12_err;h13;h13_err;h14;h14_err;h15;h15_err;h16;h16_err;h17;h17_err;h18;h18_err;h19;h19_err;h20;h20_err;h21;h21_err
2;4.38458236e+00;1.22432973e-03;2.32126577e+00;1.05582244e+00;-7.10396768e+00;6.55131261e+00;7.56087325e+01;2.35676148e+01;-4.28705881e+01;1.94857093e+02;7.54378657e+02;6.22470252e+02;-1.79396151e+03;1.07764513e+03;1.94490389e+03;1.05875310e+03;-1.04877924e+03;5.56854137e+02;2.28634628e+02;1.22067748e+02;-3.49717821e+00;2.48643233e-01;7.17191213e+00;4.45430079e-01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;4.38411093e+00;1.39875865e-03;8.46629813e+00;1.70206145e+01;-9.06633299e+00;1.05441613e+01;1.16572570e+02;7.87415323e+01;-2.40932758e+02;3.59061327e+02;2.28558565e+03;3.07753269e+03;-4.37570171e+03;5.15002350e+03;4.29074241e+03;4.62592708e+03;-2.19093007e+03;2.23604557e+03;4.62637060e+02;4.57125622e+02;-2.11463158e+00;3.85830032e+00;1.83716196e+00;1.34457046e+01;1.32702300e+01;3.33042523e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4.38463298e+00;1.11468863e-03;-3.47780968e+01;2.02718524e+00;5.01657553e+01;9.55811006e+00;1.13418492e+02;2.31892915e+01;-1.63844374e+02;1.41335528e+02;-1.26794250e+03;7.14893730e+02;7.74546768e+03;1.96708043e+03;-8.04954968e+03;2.23074051e+03;4.07194770e+03;1.28365768e+03;-8.41326599e+02;3.02931747e+02;-1.19510385e+01;4.55905186e-01;5.37981434e+01;3.71564275e+00;-1.23137308e+02;1.10822316e+01;1.45050456e+02;1.58360317e+01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;4.38483005e+00;1.26548478e-03;-3.24953476e+01;8.86248510e+00;3.30861841e+01;5.93912442e+01;1.18871553e+02;3.18773236e+01;6.05473534e+01;6.92845115e+02;-2.23537951e+03;2.95101470e+03;1.00271615e+04;6.62587957e+03;-8.35011900e+03;2.90072406e+03;3.86681431e+03;2.07393227e+03;-7.49974631e+02;5.77303750e+02;-1.14231447e+01;2.03870019e+00;4.75127118e+01;2.23901307e+01;-9.51968849e+01;9.42334382e+01;7.95453756e+01;2.13199814e+02;8.76748959e+01;2.68171660e+02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4.38482361e+00;1.20306488e-03;-3.29805242e+01;7.85874459e+00;4.00286629e+01;5.36677913e+01;9.30698572e+01;2.02308380e+02;1.31843803e+01;5.53466206e+02;-1.61089999e+03;4.83930155e+03;7.60920095e+03;1.95886994e+04;-3.69215423e+03;4.47687420e+04;2.35530953e+03;1.60024282e+04;-4.77822405e+02;3.12852900e+03;-1.15346917e+01;1.80096827e+00;4.96013803e+01;1.92411846e+01;-1.10230424e+02;1.02782566e+02;1.34763873e+02;3.87498613e+02;-3.20541400e+01;9.20969945e+02;1.39561215e+02;1.29029390e+03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;4.38473599e+00;1.30176654e-03;-3.34132899e+01;2.01540619e+01;4.19732179e+01;1.37045118e+02;1.01485582e+02;2.02838488e+02;-1.61982154e+01;7.46427552e+02;-1.69195934e+03;5.46340731e+03;8.33510639e+03;2.01258463e+04;-6.16008569e+03;4.13287583e+04;2.22535120e+03;1.50714273e+04;-5.24736771e+02;2.13857602e+03;-1.16357883e+01;4.59474194e+00;5.05147602e+01;4.96108837e+01;-1.12053639e+02;2.14138101e+02;1.32169373e+02;5.53576481e+02;-1.52252500e+01;9.70160752e+02;1.05116946e+02;1.07459197e+03;-5.91118545e+01;1.32333824e+03;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.38476491e+00;1.39380118e-03;-2.93051854e+01;7.21201819e+01;1.55159860e+01;4.73378653e+02;1.08246398e+02;6.06642242e+02;5.85942279e+01;1.39127211e+03;-1.24698700e+03;1.10569374e+04;5.46585383e+03;5.86846189e+04;2.90243637e+03;1.67091088e+05;4.18936614e+03;1.30766100e+05;2.96724222e+02;4.65567852e+04;-1.06985101e+01;1.64322442e+01;4.07260318e+01;1.72682317e+02;-7.71616344e+01;6.72946768e+02;7.48977505e+01;1.47966225e+03;2.32337657e+01;2.34416804e+03;1.47323018e+02;2.92230535e+03;2.02873235e+02;5.24903209e+03;6.58118344e+01;6.09859067e+03;;;;;;;;;;;;;;;;;;;;;;;;;;
9;4.38472962e+00;1.33478405e-03;-3.21520219e+01;6.45281674e+01;3.13161922e+01;4.78489927e+02;1.23027062e+02;6.75887294e+02;-3.56945699e+01;1.73442317e+03;-1.40641383e+03;7.44843436e+03;6.58227137e+03;3.11787658e+04;-8.18829036e+02;1.16117970e+05;-3.04686158e+03;1.22185786e+05;1.22501992e+03;6.58351823e+04;-1.13489595e+01;1.47280648e+01;4.69777072e+01;1.68714552e+02;-9.55718039e+01;7.53416226e+02;9.30461217e+01;1.80928753e+03;3.44837322e+01;2.49871232e+03;8.01823743e+01;1.69898060e+03;2.19363527e+01;1.95839786e+03;-1.09743642e+02;2.29931843e+03;4.35038056e+01;1.20218010e+03;;;;;;;;;;;;;;;;;;;;;;;;
10;4.38458327e+00;1.40997691e-03;-3.07758327e+01;1.08781423e+02;2.30163373e+01;7.22119749e+02;1.33419520e+02;6.28265760e+02;-1.32823487e+02;3.06267163e+03;-6.48334917e+02;1.30748990e+04;4.09008100e+03;8.17553530e+04;2.52748379e+03;2.66869952e+05;1.14229888e+03;2.42954922e+05;1.45656875e+03;1.31372304e+05;-1.10405824e+01;2.47973466e+01;4.40525827e+01;2.63704205e+02;-8.66860265e+01;1.02966156e+03;8.32340945e+01;2.00852450e+03;3.08174110e+01;2.60687218e+03;8.30765670e+01;5.55658785e+03;1.27442445e+02;4.16602383e+03;6.82330506e+01;5.75241827e+03;-9.67292583e+00;1.74719802e+03;1.02736298e+01;4.14710461e+02;;;;;;;;;;;;;;;;;;;;;;
11;4.38460279e+00;1.37381385e-03;-3.04301962e+01;1.12841262e+02;1.93051571e+01;8.05238598e+02;1.41302879e+02;1.07475216e+03;-8.59650979e+01;2.93416769e+03;-9.56143286e+02;1.13231706e+04;4.98378415e+03;4.21591363e+04;1.57118934e+03;1.38615266e+05;-5.79865206e+02;5.94572569e+04;2.05279918e+03;1.08362066e+05;-1.09608439e+01;2.57438664e+01;4.28434859e+01;2.87304620e+02;-7.96197459e+01;1.24422221e+03;6.28805792e+01;2.95040258e+03;6.19754954e+01;4.25549252e+03;7.24265660e+01;3.62403527e+03;7.88317173e+01;3.84755153e+03;2.39563696e+01;3.39040029e+03;3.40783970e+01;3.27873388e+03;-8.83022512e+00;1.20372832e+03;4.66808760e+00;2.97878253e+02;;;;;;;;;;;;;;;;;;;;
