m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;h1;h1_err;h2;h2_err;h3;h3_err;h4;h4_err;h5;h5_err;h6;h6_err;h7;h7_err;h8;h8_err;h9;h9_err;h10;h10_err;h11;h11_err
2;1.50245547e+01;1.09598900e-03;3.12897768e+01;1.11447190e+02;3.86639852e+01;1.43655403e+02;2.08704796e+01;3.02764973e+01;-5.76574359e+00;1.49014237e+01;1.22896376e+00;3.31027898e+00;1.12417583e+00;7.42069292e+00;1.90601120e+00;2.80599523e+00;;;;;;;;;;;;;;;;;;
3;1.50246057e+01;1.09205313e-03;2.63763066e+01;7.13150325e+01;-5.84624936e+01;3.75828680e+01;-1.31784443e+02;2.28749085e+02;-2.16231179e+01;1.55787053e+01;9.72160535e-01;2.69966719e+00;7.97566718e-01;4.74984387e+00;-4.25596313e+00;7.07260736e+00;-4.28424072e+00;6.06954177e+00;;;;;;;;;;;;;;;;
4;1.50239894e+01;1.34405373e-03;1.14809399e+03;9.82513332e+03;6.54464192e+03;4.95936934e+04;-2.65107980e+03;2.20197045e+04;-1.84080010e+04;1.37204861e+05;-2.21980589e+03;1.66389044e+04;7.54448736e+01;6.53883235e+02;3.64126593e+02;2.68257061e+03;-5.00298262e+02;3.76416276e+03;-5.59696120e+02;4.17766844e+03;;;;;;;;;;;;;;
5;1.50239954e+01;1.34198588e-03;2.23973410e+02;2.21736514e+03;3.47245978e+03;1.58708332e+04;-1.11101363e+03;6.71600818e+03;-9.80251042e+03;4.45682876e+04;-4.76565095e+02;3.97589503e+03;1.39412830e+01;1.47565774e+02;2.18436856e+02;9.35153592e+02;-2.81213509e+02;1.27507731e+03;-2.70048594e+02;1.27585525e+03;1.24277483e+01;5.41773624e+01;;;;;;;;;;;;
6;1.50242926e+01;9.87985400e-04;-4.85942982e+01;7.81344863e+01;-1.40512241e+01;1.74356409e+02;7.53710435e+01;6.17374560e+02;3.59174294e+01;6.74117573e+02;9.42651487e+01;7.34973361e+02;-4.19400216e+00;5.20141719e+00;3.51770716e+00;1.30012887e+01;-2.86955966e-01;4.26271675e+01;4.64641286e+00;8.32347352e+00;1.62577920e+00;2.15876499e+01;-2.63222479e-02;1.91559752e+00;;;;;;;;;;
7;1.50244849e+01;1.08722451e-03;-6.18966981e+01;1.28597352e+03;-3.43859876e+01;1.73128212e+03;1.97507550e+02;8.02425545e+03;1.50692457e+02;4.67685303e+03;-1.28704653e+02;5.89010169e+03;-5.07850816e+00;8.55913291e+01;2.99641342e+00;1.96917536e+02;8.11149961e+00;3.19573449e+02;3.37477325e+00;1.72226364e+02;-5.97271765e+00;2.04074047e+02;1.24567335e+00;3.72954671e+01;-1.78038079e-01;5.30990052e+00;;;;;;;;
8;1.50239991e+01;1.34348060e-03;1.38268408e+03;1.92277141e+04;-3.06153757e+03;1.11072946e+05;5.77941341e+03;4.07926634e+04;2.46621380e+03;5.66758759e+05;-1.07723942e+04;7.39228084e+05;9.10606505e+01;1.27970482e+03;-2.90338816e+02;6.51864458e+03;6.97172814e+02;8.46419378e+03;-6.12152895e+02;4.78139305e+04;1.09412393e+02;2.33149539e+03;-2.66150508e+02;1.34740394e+04;1.29218065e+02;8.21498863e+03;-2.59250626e+01;1.98410923e+03;;;;;;
9;1.50239894e+01;1.33128941e-03;7.82711402e+02;1.28410440e+03;-2.90167307e+03;3.86644252e+04;1.72515827e+03;5.35333277e+04;-3.96070338e+02;3.26345712e+04;4.39694710e+03;8.20636589e+04;5.11289508e+01;8.54552224e+01;-2.41444748e+02;2.64747575e+03;3.63626468e+02;6.06780108e+03;-4.52303053e+02;4.74280634e+03;7.74237794e+02;1.04571416e+04;-6.18698301e+02;8.94791237e+03;3.94426519e+02;6.21389253e+03;-1.55845809e+02;2.66179204e+03;2.79600971e+01;5.13483007e+02;;;;
10;1.50239887e+01;1.34414256e-03;1.07474792e+04;7.73533651e+05;-3.88627044e+04;3.45684292e+06;-3.53385247e+04;3.09861662e+06;8.24249557e+04;4.85389418e+06;1.66443865e+05;8.25636434e+06;7.14327973e+02;5.14821661e+04;-3.26912027e+03;2.78604166e+05;1.04919590e+03;3.77840099e+05;3.30855431e+03;4.22231297e+05;7.32456196e+03;6.89772724e+05;-1.88620383e+03;5.68864829e+05;-8.95400094e+02;4.33190410e+05;2.05748154e+03;2.58412337e+05;-1.36592291e+03;1.08374258e+05;3.37979564e+02;2.23440438e+04;;
11;1.50239880e+01;1.34404026e-03;1.24982251e+04;7.70086738e+04;-3.77225782e+04;6.07233746e+05;-1.13278442e+04;1.34395678e+06;6.15753973e+04;1.61466519e+06;2.97097455e+04;1.69873814e+06;8.30851964e+02;5.12525495e+03;-3.30506825e+03;4.35899314e+04;2.73663788e+03;1.11586184e+05;1.93082590e+02;1.62442857e+05;2.43388646e+03;1.37448925e+05;-4.05525880e+02;1.69925463e+05;-1.14372394e+03;1.50013807e+05;1.34958028e+03;8.86851058e+04;-5.59609783e+02;3.07424755e+04;5.67348391e+00;9.06924097e+03;4.10974827e+01;2.64662631e+03
