m;p0;p0_err;p1;p1_err;p2;p2_err;p3;p3_err;p4;p4_err;p5;p5_err;p6;p6_err;p7;p7_err;h1;h1_err;h2;h2_err;h3;h3_err
2;4.67216719e+00;8.43300002e-04;1.67028349e+02;1.63781353e+05;-5.17385283e+03;4.59689365e+06;-6.11636059e+03;5.44729578e+06;6.69435377e+02;5.92133054e+05;-5.18911342e+03;4.61557948e+06;4.55989852e+03;4.05375698e+06;-1.29692493e+03;1.15229737e+06;3.56484508e+01;3.58656277e+04;-1.16243506e+03;1.03675819e+06;;
3;4.67216709e+00;8.43299992e-04;-3.20987959e+03;9.97239816e+05;1.68567647e+03;5.22568611e+05;4.28480547e+03;1.34191607e+06;-1.50582061e+03;4.64680213e+05;4.01190743e+03;1.25953006e+06;-2.97110068e+03;9.29352965e+05;7.20663012e+02;2.25032652e+05;-6.89878313e+02;2.14020536e+05;1.08831540e+03;3.37737807e+05;-1.24619538e+02;3.66411928e+04
